CANCER A cells_x,CANCER A cells_y,CANCER B cells_x,CANCER B cells_y,Immune cells_x,Immune cells_y
0.,1.,0.,0.,0.,19.
40.,1.,40.,0.,40.,19.
80.,1.,80.,0.,80.,19.
120.,1.,120.,0.,120.,20.
160.,1.,160.,0.,160.,20.
200.,1.,200.,0.,200.,21.
240.,1.,240.,0.,240.,22.
280.,1.,280.,0.,280.,23.
320.,1.,320.,0.,320.,22.
360.,1.,360.,0.,360.,25.
400.,1.,400.,0.,400.,25.
440.,1.,440.,0.,440.,25.
480.,2.,480.,0.,480.,25.
520.,2.,520.,0.,520.,25.
560.,2.,560.,0.,560.,25.
600.,2.,600.,0.,600.,25.
640.,2.,640.,0.,640.,26.
680.,2.,680.,0.,680.,27.
720.,2.,720.,0.,720.,27.
760.,2.,760.,0.,760.,28.
800.,2.,800.,0.,800.,30.
840.,2.,840.,0.,840.,31.
880.,2.,880.,0.,880.,31.
920.,2.,920.,0.,920.,30.
960.,2.,960.,0.,960.,31.
1000.,2.,1000.,0.,1000.,31.
1040.,2.,1040.,0.,1040.,31.
1080.,2.,1080.,0.,1080.,31.
1120.,2.,1120.,0.,1120.,31.
1160.,2.,1160.,0.,1160.,31.
1200.,2.,1200.,0.,1200.,32.
1240.,2.,1240.,0.,1240.,32.
1280.,2.,1280.,0.,1280.,33.
1320.,2.,1320.,0.,1320.,33.
1360.,2.,1360.,0.,1360.,33.
1400.,2.,1400.,0.,1400.,32.
1440.,2.,1440.,0.,1440.,31.
1480.,2.,1480.,0.,1480.,31.
1520.,2.,1520.,0.,1520.,31.
1560.,4.,1560.,0.,1560.,30.
1600.,4.,1600.,0.,1600.,30.
1640.,4.,1640.,0.,1640.,30.
1680.,4.,1680.,0.,1680.,31.
1720.,4.,1720.,0.,1720.,34.
1760.,4.,1760.,0.,1760.,35.
1800.,4.,1800.,0.,1800.,38.
1840.,4.,1840.,0.,1840.,38.
1880.,4.,1880.,0.,1880.,39.
1920.,4.,1920.,0.,1920.,39.
1960.,4.,1960.,0.,1960.,40.
2000.,4.,2000.,0.,2000.,41.
2040.,4.,2040.,0.,2040.,41.
2080.,4.,2080.,0.,2080.,42.
2120.,4.,2120.,0.,2120.,42.
2160.,4.,2160.,0.,2160.,42.
2200.,4.,2200.,0.,2200.,42.
2240.,4.,2240.,0.,2240.,42.
2280.,4.,2280.,0.,2280.,43.
2320.,4.,2320.,0.,2320.,43.
2360.,4.,2360.,0.,2360.,44.
2400.,4.,2400.,0.,2400.,45.
2440.,4.,2440.,0.,2440.,46.
2480.,4.,2480.,0.,2480.,46.
2520.,4.,2520.,0.,2520.,47.
2560.,4.,2560.,0.,2560.,47.
2600.,4.,2600.,0.,2600.,47.
2640.,5.,2640.,0.,2640.,47.
2680.,5.,2680.,0.,2680.,48.
2720.,7.,2720.,0.,2720.,48.
2760.,8.,2760.,0.,2760.,48.
2800.,8.,2800.,0.,2800.,48.
2840.,8.,2840.,0.,2840.,48.
2880.,8.,2880.,0.,2880.,49.
2920.,8.,2920.,0.,2920.,50.
2960.,8.,2960.,0.,2960.,51.
3000.,8.,3000.,0.,3000.,53.
3040.,8.,3040.,0.,3040.,55.
3080.,8.,3080.,0.,3080.,56.
3120.,8.,3120.,0.,3120.,57.
3160.,8.,3160.,0.,3160.,62.
3200.,8.,3200.,0.,3200.,63.
3240.,8.,3240.,0.,3240.,63.
3280.,8.,3280.,0.,3280.,63.
3320.,8.,3320.,0.,3320.,64.
3360.,8.,3360.,0.,3360.,65.
3400.,8.,3400.,0.,3400.,65.
3440.,8.,3440.,0.,3440.,68.
3480.,8.,3480.,0.,3480.,70.
3520.,8.,3520.,0.,3520.,71.
3560.,8.,3560.,0.,3560.,71.
3600.,8.,3600.,0.,3600.,71.
3640.,8.,3640.,0.,3640.,71.
3680.,8.,3680.,0.,3680.,70.
3720.,9.,3720.,0.,3720.,70.
3760.,11.,3760.,0.,3760.,71.
3800.,11.,3800.,0.,3800.,73.
3840.,14.,3840.,0.,3840.,73.
3880.,16.,3880.,0.,3880.,73.
3920.,16.,3920.,0.,3920.,73.
3960.,16.,3960.,0.,3960.,74.
4000.,16.,4000.,0.,4000.,77.
4040.,16.,4040.,0.,4040.,79.
4080.,16.,4080.,0.,4080.,81.
4120.,16.,4120.,0.,4120.,82.
4160.,16.,4160.,0.,4160.,81.
4200.,16.,4200.,0.,4200.,84.
4240.,16.,4240.,0.,4240.,87.
4280.,16.,4280.,0.,4280.,88.
4320.,16.,4320.,0.,4320.,88.
4360.,16.,4360.,0.,4360.,89.
4400.,16.,4400.,0.,4400.,90.
4440.,16.,4440.,0.,4440.,90.
4480.,16.,4480.,0.,4480.,92.
4520.,16.,4520.,0.,4520.,93.
4560.,16.,4560.,0.,4560.,96.
4600.,16.,4600.,0.,4600.,97.
4640.,16.,4640.,0.,4640.,101.
4680.,16.,4680.,0.,4680.,103.
4720.,16.,4720.,0.,4720.,108.
4760.,17.,4760.,0.,4760.,108.
4800.,18.,4800.,0.,4800.,111.
4840.,19.,4840.,0.,4840.,111.
4880.,22.,4880.,0.,4880.,110.
4920.,27.,4920.,0.,4920.,111.
4960.,29.,4960.,0.,4960.,112.
5000.,29.,5000.,0.,5000.,115.
5040.,31.,5040.,0.,5040.,115.
5080.,31.,5080.,1.,5080.,117.
5120.,31.,5120.,1.,5120.,118.
5160.,31.,5160.,1.,5160.,120.
5200.,31.,5200.,1.,5200.,123.
5240.,31.,5240.,1.,5240.,124.
5280.,31.,5280.,1.,5280.,122.
5320.,31.,5320.,1.,5320.,123.
5360.,31.,5360.,1.,5360.,124.
5400.,31.,5400.,1.,5400.,126.
5440.,31.,5440.,1.,5440.,125.
5480.,31.,5480.,1.,5480.,126.
5520.,31.,5520.,1.,5520.,125.
5560.,31.,5560.,1.,5560.,127.
5600.,31.,5600.,1.,5600.,127.
5640.,31.,5640.,1.,5640.,129.
5680.,31.,5680.,1.,5680.,135.
5720.,31.,5720.,1.,5720.,139.
5760.,31.,5760.,1.,5760.,139.
5800.,30.,5800.,1.,5800.,139.
5840.,30.,5840.,1.,5840.,139.
5880.,32.,5880.,2.,5880.,141.
5920.,36.,5920.,2.,5920.,144.
5960.,37.,5960.,2.,5960.,143.
6000.,39.,6000.,2.,6000.,146.
6040.,43.,6040.,2.,6040.,148.
6080.,46.,6080.,2.,6080.,150.
6120.,51.,6120.,2.,6120.,150.
6160.,52.,6160.,2.,6160.,151.
6200.,53.,6200.,2.,6200.,149.
6240.,53.,6240.,2.,6240.,146.
6280.,55.,6280.,2.,6280.,149.
6320.,57.,6320.,2.,6320.,149.
6360.,57.,6360.,2.,6360.,152.
6400.,58.,6400.,2.,6400.,155.
6440.,60.,6440.,2.,6440.,157.
6480.,60.,6480.,2.,6480.,158.
6520.,60.,6520.,2.,6520.,162.
6560.,60.,6560.,2.,6560.,163.
6600.,59.,6600.,2.,6600.,166.
6640.,59.,6640.,2.,6640.,167.
6680.,59.,6680.,2.,6680.,166.
6720.,58.,6720.,2.,6720.,170.
6760.,58.,6760.,2.,6760.,171.
6800.,58.,6800.,2.,6800.,173.
6840.,58.,6840.,3.,6840.,176.
6880.,58.,6880.,4.,6880.,178.
6920.,59.,6920.,4.,6920.,178.
6960.,63.,6960.,4.,6960.,185.
7000.,67.,7000.,4.,7000.,185.
7040.,69.,7040.,4.,7040.,185.
7080.,72.,7080.,4.,7080.,184.
7120.,77.,7120.,4.,7120.,188.
7160.,78.,7160.,4.,7160.,187.
7200.,84.,7200.,4.,7200.,187.
7240.,86.,7240.,4.,7240.,186.
7280.,90.,7280.,4.,7280.,186.
7320.,91.,7320.,4.,7320.,185.
7360.,93.,7360.,4.,7360.,187.
7400.,94.,7400.,4.,7400.,188.
7440.,97.,7440.,4.,7440.,188.
7480.,98.,7480.,4.,7480.,190.
7520.,99.,7520.,4.,7520.,197.
7560.,101.,7560.,4.,7560.,196.
7600.,102.,7600.,4.,7600.,201.
7640.,102.,7640.,4.,7640.,201.
7680.,102.,7680.,4.,7680.,204.
7720.,103.,7720.,4.,7720.,205.
7760.,103.,7760.,4.,7760.,206.
7800.,104.,7800.,4.,7800.,206.
7840.,104.,7840.,6.,7840.,206.
7880.,104.,7880.,6.,7880.,206.
7920.,103.,7920.,7.,7920.,212.
7960.,106.,7960.,7.,7960.,214.
8000.,106.,8000.,7.,8000.,217.
