CANCER A cells area_x,CANCER A cells area_y,CANCER B cells area_x,CANCER B cells area_y,Total cancer cell area_x,Total cancer cell area_y
0.,0.0023,0.,0.,0.,0.0023
40.,0.0024,40.,0.,40.,0.0024
80.,0.0025,80.,0.,80.,0.0025
120.,0.0025,120.,0.,120.,0.0025
160.,0.0026,160.,0.,160.,0.0026
200.,0.0026,200.,0.,200.,0.0026
240.,0.0027,240.,0.,240.,0.0027
280.,0.0027,280.,0.,280.,0.0027
320.,0.0028,320.,0.,320.,0.0028
360.,0.0029,360.,0.,360.,0.0029
400.,0.0029,400.,0.,400.,0.0029
440.,0.0029,440.,0.,440.,0.0029
480.,0.003,480.,0.,480.,0.003
520.,0.0032,520.,0.,520.,0.0032
560.,0.0032,560.,0.,560.,0.0032
600.,0.0034,600.,0.,600.,0.0034
640.,0.0034,640.,0.,640.,0.0034
680.,0.0036,680.,0.,680.,0.0036
720.,0.0036,720.,0.,720.,0.0036
760.,0.0037,760.,0.,760.,0.0037
800.,0.0038,800.,0.,800.,0.0038
840.,0.0038,840.,0.,840.,0.0038
880.,0.004,880.,0.,880.,0.004
920.,0.0041,920.,0.,920.,0.0041
960.,0.0042,960.,0.,960.,0.0042
1000.,0.0044,1000.,0.,1000.,0.0044
1040.,0.0044,1040.,0.,1040.,0.0044
1080.,0.0046,1080.,0.,1080.,0.0046
1120.,0.0046,1120.,0.,1120.,0.0046
1160.,0.0047,1160.,0.,1160.,0.0047
1200.,0.0048,1200.,0.,1200.,0.0048
1240.,0.005,1240.,0.,1240.,0.005
1280.,0.0051,1280.,0.,1280.,0.0051
1320.,0.0052,1320.,0.,1320.,0.0052
1360.,0.0053,1360.,0.,1360.,0.0053
1400.,0.0054,1400.,0.,1400.,0.0054
1440.,0.0056,1440.,0.,1440.,0.0056
1480.,0.0056,1480.,0.,1480.,0.0056
1520.,0.0058,1520.,0.,1520.,0.0058
1560.,0.006,1560.,0.,1560.,0.006
1600.,0.0063,1600.,0.,1600.,0.0063
1640.,0.0064,1640.,0.,1640.,0.0064
1680.,0.0067,1680.,0.,1680.,0.0067
1720.,0.0068,1720.,0.,1720.,0.0068
1760.,0.007,1760.,0.,1760.,0.007
1800.,0.0072,1800.,0.,1800.,0.0072
1840.,0.0073,1840.,0.,1840.,0.0073
1880.,0.0076,1880.,0.,1880.,0.0076
1920.,0.0077,1920.,0.,1920.,0.0077
1960.,0.0079,1960.,0.,1960.,0.0079
2000.,0.0081,2000.,0.,2000.,0.0081
2040.,0.0083,2040.,0.,2040.,0.0083
2080.,0.0085,2080.,0.,2080.,0.0085
2120.,0.0087,2120.,0.,2120.,0.0087
2160.,0.0088,2160.,0.,2160.,0.0088
2200.,0.0091,2200.,0.,2200.,0.0091
2240.,0.0093,2240.,0.,2240.,0.0093
2280.,0.0095,2280.,0.,2280.,0.0095
2320.,0.0098,2320.,0.,2320.,0.0098
2360.,0.0099,2360.,0.,2360.,0.0099
2400.,0.0101,2400.,0.,2400.,0.0101
2440.,0.0104,2440.,0.,2440.,0.0104
2480.,0.0107,2480.,0.,2480.,0.0107
2520.,0.0109,2520.,0.,2520.,0.0109
2560.,0.0111,2560.,0.,2560.,0.0111
2600.,0.0112,2600.,0.,2600.,0.0112
2640.,0.0114,2640.,0.,2640.,0.0114
2680.,0.0116,2680.,0.,2680.,0.0116
2720.,0.0122,2720.,0.,2720.,0.0122
2760.,0.0126,2760.,0.,2760.,0.0126
2800.,0.0128,2800.,0.,2800.,0.0128
2840.,0.0134,2840.,0.,2840.,0.0134
2880.,0.0136,2880.,0.,2880.,0.0136
2920.,0.0141,2920.,0.,2920.,0.0141
2960.,0.0147,2960.,0.,2960.,0.0147
3000.,0.015,3000.,0.,3000.,0.015
3040.,0.0154,3040.,0.,3040.,0.0154
3080.,0.0158,3080.,0.,3080.,0.0158
3120.,0.0162,3120.,0.,3120.,0.0162
3160.,0.0167,3160.,0.,3160.,0.0167
3200.,0.0168,3200.,0.,3200.,0.0168
3240.,0.0173,3240.,0.,3240.,0.0173
3280.,0.0175,3280.,0.,3280.,0.0175
3320.,0.018,3320.,0.,3320.,0.018
3360.,0.0184,3360.,0.,3360.,0.0184
3400.,0.019,3400.,0.,3400.,0.019
3440.,0.0195,3440.,0.,3440.,0.0195
3480.,0.0199,3480.,0.,3480.,0.0199
3520.,0.0205,3520.,0.,3520.,0.0205
3560.,0.0207,3560.,0.,3560.,0.0207
3600.,0.0211,3600.,0.,3600.,0.0211
3640.,0.0219,3640.,0.,3640.,0.0219
3680.,0.0221,3680.,0.,3680.,0.0221
3720.,0.0226,3720.,0.,3720.,0.0226
3760.,0.023,3760.,0.,3760.,0.023
3800.,0.0238,3800.,0.,3800.,0.0238
3840.,0.0241,3840.,0.,3840.,0.0241
3880.,0.0252,3880.,0.,3880.,0.0252
3920.,0.0256,3920.,0.,3920.,0.0256
3960.,0.0266,3960.,0.,3960.,0.0266
4000.,0.0273,4000.,0.,4000.,0.0273
4040.,0.0282,4040.,0.,4040.,0.0282
4080.,0.0288,4080.,0.,4080.,0.0288
4120.,0.0296,4120.,0.,4120.,0.0296
4160.,0.0305,4160.,0.,4160.,0.0305
4200.,0.0314,4200.,0.,4200.,0.0314
4240.,0.0322,4240.,0.,4240.,0.0322
4280.,0.0329,4280.,0.,4280.,0.0329
4320.,0.0337,4320.,0.,4320.,0.0337
4360.,0.0348,4360.,0.,4360.,0.0348
4400.,0.0353,4400.,0.,4400.,0.0353
4440.,0.0362,4440.,0.,4440.,0.0362
4480.,0.0369,4480.,0.,4480.,0.0369
4520.,0.0379,4520.,0.,4520.,0.0379
4560.,0.0386,4560.,0.,4560.,0.0386
4600.,0.0396,4600.,0.,4600.,0.0396
4640.,0.0405,4640.,0.,4640.,0.0405
4680.,0.0419,4680.,0.,4680.,0.0419
4720.,0.0426,4720.,0.,4720.,0.0426
4760.,0.043,4760.,0.,4760.,0.043
4800.,0.0447,4800.,0.,4800.,0.0447
4840.,0.045,4840.,0.,4840.,0.045
4880.,0.0467,4880.,0.,4880.,0.0467
4920.,0.0476,4920.,0.,4920.,0.0476
4960.,0.0492,4960.,0.,4960.,0.0492
5000.,0.0504,5000.,0.,5000.,0.0504
5040.,0.0516,5040.,0.,5040.,0.0516
5080.,0.0512,5080.,0.0019,5080.,0.0531
5120.,0.0531,5120.,0.0019,5120.,0.055
5160.,0.0544,5160.,0.0019,5160.,0.0563
5200.,0.056,5200.,0.002,5200.,0.058
5240.,0.0574,5240.,0.0021,5240.,0.0595
5280.,0.0586,5280.,0.0021,5280.,0.0607
5320.,0.0599,5320.,0.0022,5320.,0.0621
5360.,0.0616,5360.,0.0022,5360.,0.0638
5400.,0.0633,5400.,0.0023,5400.,0.0656
5440.,0.0645,5440.,0.0024,5440.,0.0669
5480.,0.0662,5480.,0.0024,5480.,0.0686
5520.,0.068,5520.,0.0025,5520.,0.0705
5560.,0.0693,5560.,0.0025,5560.,0.0718
5600.,0.0706,5600.,0.0026,5600.,0.0732
5640.,0.0723,5640.,0.0027,5640.,0.075
5680.,0.0732,5680.,0.0027,5680.,0.0759
5720.,0.0757,5720.,0.0028,5720.,0.0785
5760.,0.0769,5760.,0.0029,5760.,0.0798
5800.,0.0761,5800.,0.0029,5800.,0.079
5840.,0.0774,5840.,0.0029,5840.,0.0803
5880.,0.0794,5880.,0.003,5880.,0.0824
5920.,0.0813,5920.,0.0032,5920.,0.0845
5960.,0.0828,5960.,0.0033,5960.,0.0861
6000.,0.0846,6000.,0.0034,6000.,0.088
6040.,0.0865,6040.,0.0035,6040.,0.09
6080.,0.089,6080.,0.0036,6080.,0.0926
6120.,0.0914,6120.,0.0037,6120.,0.0951
6160.,0.0933,6160.,0.0038,6160.,0.0971
6200.,0.0961,6200.,0.0039,6200.,0.1
6240.,0.0982,6240.,0.0041,6240.,0.1023
6280.,0.1011,6280.,0.0041,6280.,0.1052
6320.,0.103,6320.,0.0043,6320.,0.1073
6360.,0.1051,6360.,0.0044,6360.,0.1095
6400.,0.1079,6400.,0.0045,6400.,0.1124
6440.,0.1101,6440.,0.0046,6440.,0.1147
6480.,0.1124,6480.,0.0048,6480.,0.1172
6520.,0.1158,6520.,0.0048,6520.,0.1206
6560.,0.1183,6560.,0.0049,6560.,0.1232
6600.,0.1194,6600.,0.0051,6600.,0.1245
6640.,0.1224,6640.,0.0052,6640.,0.1276
6680.,0.1252,6680.,0.0053,6680.,0.1305
6720.,0.1254,6720.,0.0054,6720.,0.1308
6760.,0.1282,6760.,0.0055,6760.,0.1337
6800.,0.1309,6800.,0.0057,6800.,0.1366
6840.,0.1338,6840.,0.0059,6840.,0.1397
6880.,0.1364,6880.,0.0059,6880.,0.1423
6920.,0.1404,6920.,0.0062,6920.,0.1466
6960.,0.1425,6960.,0.0064,6960.,0.1489
7000.,0.145,7000.,0.0066,7000.,0.1516
7040.,0.1483,7040.,0.0069,7040.,0.1552
7080.,0.1519,7080.,0.0071,7080.,0.159
7120.,0.1562,7120.,0.0074,7120.,0.1636
7160.,0.1599,7160.,0.0076,7160.,0.1675
7200.,0.1635,7200.,0.0077,7200.,0.1712
7240.,0.1661,7240.,0.0079,7240.,0.174
7280.,0.1702,7280.,0.008,7280.,0.1782
7320.,0.174,7320.,0.0083,7320.,0.1823
7360.,0.1777,7360.,0.0085,7360.,0.1862
7400.,0.181,7400.,0.0088,7400.,0.1898
7440.,0.1858,7440.,0.009,7440.,0.1948
7480.,0.1893,7480.,0.0092,7480.,0.1985
7520.,0.1928,7520.,0.0094,7520.,0.2022
7560.,0.1967,7560.,0.0097,7560.,0.2064
7600.,0.2011,7600.,0.0099,7600.,0.211
7640.,0.2059,7640.,0.0103,7640.,0.2162
7680.,0.2098,7680.,0.0104,7680.,0.2202
7720.,0.2142,7720.,0.0107,7720.,0.2249
7760.,0.2182,7760.,0.011,7760.,0.2292
7800.,0.2217,7800.,0.0109,7800.,0.2326
7840.,0.2235,7840.,0.0111,7840.,0.2346
7880.,0.2276,7880.,0.0114,7880.,0.239
7920.,0.2306,7920.,0.0119,7920.,0.2425
7960.,0.235,7960.,0.0121,7960.,0.2471
8000.,0.2397,8000.,0.011,8000.,0.2507
