CANCER A cells_x,CANCER A cells_y,CANCER B cells_x,CANCER B cells_y,Immune cells_x,Immune cells_y
0.,1.,0.,0.,0.,16.
40.,1.,40.,0.,40.,16.
80.,1.,80.,0.,80.,16.
120.,1.,120.,0.,120.,16.
160.,2.,160.,0.,160.,17.
200.,4.,200.,0.,200.,17.
240.,8.,240.,0.,240.,17.
280.,17.,280.,0.,280.,17.
320.,33.,320.,1.,320.,19.
360.,68.,360.,2.,360.,19.
400.,123.,400.,4.,400.,20.
440.,205.,440.,8.,440.,20.
480.,296.,480.,12.,480.,20.
520.,410.,520.,19.,520.,20.
560.,536.,560.,26.,560.,22.
600.,708.,600.,37.,600.,22.
640.,887.,640.,52.,640.,22.
680.,1084.,680.,61.,680.,24.
720.,1291.,720.,81.,720.,26.
760.,1508.,760.,96.,760.,28.
800.,1730.,800.,108.,800.,30.
840.,1935.,840.,112.,840.,31.
880.,2188.,880.,127.,880.,34.
920.,2366.,920.,127.,920.,38.
960.,2454.,960.,128.,960.,43.
1000.,2487.,1000.,131.,1000.,44.
1040.,2426.,1040.,129.,1040.,46.
1080.,2430.,1080.,121.,1080.,50.
1120.,2315.,1120.,121.,1120.,52.
1160.,2257.,1160.,111.,1160.,56.
1200.,2192.,1200.,112.,1200.,58.
1240.,2149.,1240.,109.,1240.,65.
1280.,2068.,1280.,104.,1280.,69.
1320.,1994.,1320.,100.,1320.,75.
1360.,1942.,1360.,99.,1360.,88.
1400.,1867.,1400.,97.,1400.,97.
1440.,1824.,1440.,97.,1440.,105.
1480.,1792.,1480.,98.,1480.,115.
1520.,1757.,1520.,95.,1520.,125.
1560.,1735.,1560.,92.,1560.,142.
1600.,1698.,1600.,91.,1600.,154.
1640.,1665.,1640.,92.,1640.,178.
1680.,1633.,1680.,86.,1680.,197.
1720.,1584.,1720.,85.,1720.,214.
1760.,1561.,1760.,85.,1760.,228.
1800.,1533.,1800.,85.,1800.,246.
1840.,1524.,1840.,91.,1840.,267.
1880.,1509.,1880.,91.,1880.,286.
1920.,1490.,1920.,89.,1920.,304.
1960.,1463.,1960.,89.,1960.,331.
2000.,1437.,2000.,89.,2000.,358.
2040.,1431.,2040.,88.,2040.,376.
2080.,1426.,2080.,88.,2080.,404.
2120.,1417.,2120.,86.,2120.,414.
2160.,1407.,2160.,86.,2160.,441.
2200.,1390.,2200.,85.,2200.,469.
2240.,1373.,2240.,87.,2240.,496.
2280.,1369.,2280.,86.,2280.,526.
2320.,1372.,2320.,87.,2320.,570.
2360.,1360.,2360.,87.,2360.,598.
2400.,1344.,2400.,86.,2400.,625.
2440.,1329.,2440.,86.,2440.,653.
2480.,1322.,2480.,87.,2480.,690.
2520.,1318.,2520.,88.,2520.,721.
2560.,1297.,2560.,88.,2560.,750.
2600.,1287.,2600.,89.,2600.,776.
2640.,1268.,2640.,90.,2640.,795.
2680.,1247.,2680.,90.,2680.,821.
2720.,1228.,2720.,92.,2720.,844.
2760.,1214.,2760.,88.,2760.,860.
2800.,1207.,2800.,88.,2800.,855.
2840.,1201.,2840.,88.,2840.,869.
2880.,1191.,2880.,94.,2880.,891.
2920.,1185.,2920.,95.,2920.,902.
2960.,1187.,2960.,96.,2960.,912.
3000.,1194.,3000.,96.,3000.,924.
3040.,1196.,3040.,98.,3040.,943.
3080.,1199.,3080.,96.,3080.,953.
3120.,1189.,3120.,93.,3120.,959.
3160.,1190.,3160.,96.,3160.,969.
3200.,1193.,3200.,97.,3200.,960.
3240.,1199.,3240.,94.,3240.,988.
3280.,1196.,3280.,93.,3280.,980.
3320.,1201.,3320.,93.,3320.,974.
3360.,1188.,3360.,90.,3360.,976.
3400.,1193.,3400.,87.,3400.,985.
3440.,1182.,3440.,85.,3440.,979.
3480.,1177.,3480.,86.,3480.,991.
3520.,1179.,3520.,88.,3520.,993.
3560.,1193.,3560.,88.,3560.,976.
3600.,1194.,3600.,85.,3600.,968.
3640.,1202.,3640.,84.,3640.,971.
3680.,1204.,3680.,86.,3680.,957.
3720.,1203.,3720.,86.,3720.,964.
3760.,1198.,3760.,87.,3760.,958.
3800.,1197.,3800.,86.,3800.,951.
3840.,1213.,3840.,82.,3840.,947.
3880.,1210.,3880.,81.,3880.,942.
3920.,1206.,3920.,80.,3920.,957.
3960.,1213.,3960.,81.,3960.,951.
4000.,1197.,4000.,81.,4000.,954.
4040.,1188.,4040.,84.,4040.,959.
4080.,1174.,4080.,87.,4080.,963.
4120.,1182.,4120.,86.,4120.,951.
4160.,1179.,4160.,85.,4160.,972.
4200.,1185.,4200.,82.,4200.,966.
4240.,1189.,4240.,80.,4240.,951.
4280.,1193.,4280.,82.,4280.,948.
4320.,1190.,4320.,82.,4320.,945.
4360.,1183.,4360.,83.,4360.,950.
4400.,1188.,4400.,85.,4400.,955.
4440.,1177.,4440.,85.,4440.,940.
4480.,1178.,4480.,87.,4480.,944.
4520.,1186.,4520.,85.,4520.,950.
4560.,1183.,4560.,82.,4560.,938.
4600.,1196.,4600.,81.,4600.,940.
4640.,1187.,4640.,82.,4640.,931.
4680.,1198.,4680.,83.,4680.,934.
4720.,1213.,4720.,80.,4720.,934.
4760.,1219.,4760.,78.,4760.,945.
4800.,1216.,4800.,78.,4800.,947.
4840.,1203.,4840.,78.,4840.,946.
4880.,1212.,4880.,76.,4880.,938.
4920.,1213.,4920.,74.,4920.,939.
4960.,1219.,4960.,79.,4960.,934.
5000.,1220.,5000.,82.,5000.,941.
5040.,1226.,5040.,85.,5040.,948.
5080.,1229.,5080.,83.,5080.,947.
5120.,1246.,5120.,80.,5120.,945.
5160.,1236.,5160.,82.,5160.,940.
5200.,1237.,5200.,80.,5200.,943.
5240.,1242.,5240.,81.,5240.,940.
5280.,1240.,5280.,77.,5280.,934.
5320.,1235.,5320.,75.,5320.,941.
5360.,1239.,5360.,74.,5360.,936.
5400.,1238.,5400.,77.,5400.,947.
5440.,1238.,5440.,77.,5440.,925.
5480.,1245.,5480.,76.,5480.,931.
5520.,1240.,5520.,79.,5520.,936.
5560.,1238.,5560.,79.,5560.,946.
5600.,1253.,5600.,79.,5600.,947.
5640.,1248.,5640.,75.,5640.,942.
5680.,1241.,5680.,76.,5680.,946.
5720.,1234.,5720.,77.,5720.,935.
5760.,1225.,5760.,77.,5760.,920.
5800.,1226.,5800.,78.,5800.,921.
5840.,1216.,5840.,76.,5840.,924.
5880.,1211.,5880.,77.,5880.,926.
5920.,1212.,5920.,82.,5920.,920.
