cell_ratio_x,cell_ratio_y
0.,0.
40.,0.
80.,0.
120.,0.
160.,0.
200.,0.
240.,0.
280.,0.
320.,0.0303030303
360.,0.0294117647
400.,0.0325203252
440.,0.0390243902
480.,0.0405405405
520.,0.0463414634
560.,0.0485074627
600.,0.0522598870
640.,0.0586245772
680.,0.0562730627
720.,0.0627420604
760.,0.0636604775
800.,0.0624277457
840.,0.057881137
880.,0.0580438757
920.,0.0536770921
960.,0.0521597392
1000.,0.0526739043
1040.,0.0531739489
1080.,0.0497942387
1120.,0.0522678186
1160.,0.0491803279
1200.,0.0510948905
1240.,0.0507212657
1280.,0.0502901354
1320.,0.0501504514
1360.,0.0509783728
1400.,0.0519550080
1440.,0.0531798246
1480.,0.0546875
1520.,0.0540694365
1560.,0.0530259366
1600.,0.0535924617
1640.,0.0552552553
1680.,0.0526638089
1720.,0.0536616162
1760.,0.0544522742
1800.,0.0554468363
1840.,0.0597112861
1880.,0.0603048376
1920.,0.0597315436
1960.,0.0608339029
2000.,0.0619345859
2040.,0.0614954577
2080.,0.0617110799
2120.,0.060691602
2160.,0.0611229566
2200.,0.0611510791
2240.,0.0633648944
2280.,0.0628195763
2320.,0.0634110787
2360.,0.0639705882
2400.,0.0639880952
2440.,0.0647103085
2480.,0.0658093797
2520.,0.0667678300
2560.,0.0678488820
2600.,0.0691530692
2640.,0.070977918
2680.,0.0721732157
2720.,0.0749185668
2760.,0.0724876442
2800.,0.0729080365
2840.,0.0732722731
2880.,0.0789252729
2920.,0.0801687764
2960.,0.0808761584
3000.,0.0804020101
3040.,0.0819397993
3080.,0.0800667223
3120.,0.0782169891
3160.,0.0806722689
3200.,0.0813076278
3240.,0.0783986656
3280.,0.0777591973
3320.,0.0774354704
3360.,0.0757575758
3400.,0.0729253982
3440.,0.0719120135
3480.,0.0730671198
3520.,0.0746395250
3560.,0.0737636211
3600.,0.0711892797
3640.,0.0698835275
3680.,0.0714285714
3720.,0.0714879468
3760.,0.0726210351
3800.,0.0718462824
3840.,0.0676009893
3880.,0.0669421488
3920.,0.0663349917
3960.,0.066776587
4000.,0.0676691729
4040.,0.0707070707
4080.,0.0741056218
4120.,0.0727580372
4160.,0.0720949958
4200.,0.0691983122
4240.,0.0672834315
4280.,0.0687342833
4320.,0.0689075630
4360.,0.0701606086
4400.,0.0715488215
4440.,0.0722175021
4480.,0.0738539898
4520.,0.0716694772
4560.,0.0693153001
4600.,0.0677257525
4640.,0.0690817186
4680.,0.0692821369
4720.,0.0659521847
4760.,0.0639868745
4800.,0.0641447368
4840.,0.0648379052
4880.,0.0627062706
4920.,0.0610057708
4960.,0.0648072190
5000.,0.0672131148
5040.,0.0693311582
5080.,0.067534581
5120.,0.0642054575
5160.,0.0663430421
5200.,0.064672595
5240.,0.0652173913
5280.,0.0620967742
5320.,0.0607287449
5360.,0.0597255851
5400.,0.0621970921
5440.,0.0621970921
5480.,0.0610441767
5520.,0.0637096774
5560.,0.063812601
5600.,0.0630486832
5640.,0.0600961538
5680.,0.0612409347
5720.,0.0623987034
5760.,0.0628571429
5800.,0.0636215334
5840.,0.0625
5880.,0.0635838150
5920.,0.0676567657
5960.,0.0649137223
6000.,0.0693069307
6040.,0.0691358025
6080.,0.0731504572
6120.,0.0710743802
6160.,0.0698051948
6200.,0.0687702265
6240.,0.0675241158
6280.,0.0685154976
6320.,0.0686037127
6360.,0.0665044607
6400.,0.0676998369
6440.,0.0682004930
6480.,0.0713114754
6520.,0.0736754967
6560.,0.0759599332
6600.,0.0754560531
6640.,0.0760233918
6680.,0.076602831
6720.,0.0781512605
6760.,0.077954736
6800.,0.0783986656
6840.,0.0773662551
6880.,0.0771784232
6920.,0.0776143791
6960.,0.0812347685
7000.,0.0807754443
7040.,0.0850891410
7080.,0.0856911884
7120.,0.0885458976
7160.,0.091954023
7200.,0.0899339934
7240.,0.0872427984
7280.,0.0871710526
7320.,0.091954023
7360.,0.0932684509
7400.,0.0931928687
7440.,0.095505618
7480.,0.0967741935
7520.,0.0966183575
7560.,0.0970873786
7600.,0.095890411
7640.,0.0962309543
7680.,0.0922712934
7720.,0.0909090909
7760.,0.0893416928
7800.,0.0901960784
7840.,0.0905542545
7880.,0.0913312693
7920.,0.0936037441
7960.,0.09375
8000.,0.0916209867
