CANCER A cells_x,CANCER A cells_y,CANCER B cells_x,CANCER B cells_y,Immune cells_x,Immune cells_y
0.,1.,0.,0.,0.,18.
40.,1.,40.,0.,40.,18.
80.,1.,80.,0.,80.,18.
120.,1.,120.,0.,120.,18.
160.,1.,160.,0.,160.,18.
200.,1.,200.,0.,200.,18.
240.,1.,240.,0.,240.,18.
280.,1.,280.,0.,280.,18.
320.,1.,320.,0.,320.,18.
360.,1.,360.,0.,360.,18.
400.,2.,400.,0.,400.,18.
440.,2.,440.,0.,440.,19.
480.,2.,480.,0.,480.,19.
520.,3.,520.,0.,520.,20.
560.,6.,560.,0.,560.,21.
600.,9.,600.,0.,600.,21.
640.,14.,640.,0.,640.,21.
680.,23.,680.,0.,680.,25.
720.,31.,720.,0.,720.,25.
760.,48.,760.,1.,760.,25.
800.,66.,800.,1.,800.,25.
840.,77.,840.,1.,840.,26.
880.,107.,880.,1.,880.,26.
920.,123.,920.,1.,920.,27.
960.,140.,960.,1.,960.,27.
1000.,171.,1000.,1.,1000.,27.
1040.,188.,1040.,1.,1040.,29.
1080.,211.,1080.,2.,1080.,31.
1120.,236.,1120.,2.,1120.,31.
1160.,260.,1160.,3.,1160.,32.
1200.,294.,1200.,3.,1200.,33.
1240.,333.,1240.,4.,1240.,34.
1280.,367.,1280.,4.,1280.,36.
1320.,413.,1320.,4.,1320.,36.
1360.,466.,1360.,4.,1360.,37.
1400.,517.,1400.,6.,1400.,37.
1440.,567.,1440.,6.,1440.,39.
1480.,632.,1480.,6.,1480.,44.
1520.,687.,1520.,6.,1520.,47.
1560.,737.,1560.,7.,1560.,51.
1600.,794.,1600.,7.,1600.,58.
1640.,845.,1640.,6.,1640.,61.
1680.,892.,1680.,6.,1680.,68.
1720.,956.,1720.,6.,1720.,76.
1760.,1011.,1760.,5.,1760.,83.
1800.,1080.,1800.,5.,1800.,91.
1840.,1147.,1840.,5.,1840.,98.
1880.,1210.,1880.,6.,1880.,108.
1920.,1289.,1920.,6.,1920.,122.
1960.,1359.,1960.,6.,1960.,133.
2000.,1422.,2000.,6.,2000.,145.
2040.,1498.,2040.,6.,2040.,155.
2080.,1570.,2080.,5.,2080.,164.
2120.,1635.,2120.,4.,2120.,182.
2160.,1684.,2160.,4.,2160.,195.
2200.,1729.,2200.,4.,2200.,210.
2240.,1728.,2240.,4.,2240.,223.
2280.,1725.,2280.,5.,2280.,231.
2320.,1732.,2320.,3.,2320.,249.
2360.,1743.,2360.,3.,2360.,260.
2400.,1720.,2400.,3.,2400.,278.
2440.,1735.,2440.,4.,2440.,295.
2480.,1719.,2480.,4.,2480.,310.
2520.,1713.,2520.,5.,2520.,324.
2560.,1723.,2560.,4.,2560.,335.
2600.,1724.,2600.,5.,2600.,346.
2640.,1743.,2640.,5.,2640.,370.
2680.,1726.,2680.,5.,2680.,385.
2720.,1717.,2720.,5.,2720.,402.
2760.,1705.,2760.,5.,2760.,416.
2800.,1724.,2800.,6.,2800.,435.
2840.,1702.,2840.,6.,2840.,442.
2880.,1695.,2880.,6.,2880.,454.
2920.,1692.,2920.,6.,2920.,468.
2960.,1701.,2960.,6.,2960.,489.
3000.,1703.,3000.,9.,3000.,503.
3040.,1690.,3040.,10.,3040.,513.
3080.,1685.,3080.,9.,3080.,520.
3120.,1702.,3120.,9.,3120.,545.
3160.,1699.,3160.,11.,3160.,562.
3200.,1716.,3200.,11.,3200.,583.
3240.,1678.,3240.,12.,3240.,588.
3280.,1672.,3280.,11.,3280.,583.
3320.,1667.,3320.,12.,3320.,597.
3360.,1689.,3360.,11.,3360.,594.
3400.,1702.,3400.,13.,3400.,607.
3440.,1695.,3440.,13.,3440.,606.
3480.,1709.,3480.,13.,3480.,602.
3520.,1709.,3520.,14.,3520.,612.
3560.,1713.,3560.,14.,3560.,613.
3600.,1707.,3600.,13.,3600.,617.
3640.,1713.,3640.,13.,3640.,635.
3680.,1714.,3680.,14.,3680.,634.
3720.,1697.,3720.,15.,3720.,656.
3760.,1700.,3760.,15.,3760.,659.
3800.,1701.,3800.,13.,3800.,664.
3840.,1709.,3840.,14.,3840.,664.
3880.,1720.,3880.,13.,3880.,660.
3920.,1698.,3920.,13.,3920.,673.
3960.,1667.,3960.,12.,3960.,683.
4000.,1671.,4000.,12.,4000.,677.
4040.,1652.,4040.,14.,4040.,687.
4080.,1640.,4080.,14.,4080.,699.
4120.,1618.,4120.,13.,4120.,705.
4160.,1609.,4160.,13.,4160.,714.
4200.,1597.,4200.,13.,4200.,725.
4240.,1593.,4240.,13.,4240.,729.
4280.,1582.,4280.,16.,4280.,722.
4320.,1587.,4320.,16.,4320.,716.
4360.,1582.,4360.,16.,4360.,722.
4400.,1573.,4400.,16.,4400.,726.
4440.,1548.,4440.,17.,4440.,738.
4480.,1557.,4480.,18.,4480.,746.
4520.,1547.,4520.,18.,4520.,759.
4560.,1530.,4560.,16.,4560.,774.
4600.,1506.,4600.,16.,4600.,773.
4640.,1494.,4640.,16.,4640.,777.
4680.,1481.,4680.,15.,4680.,801.
4720.,1469.,4720.,15.,4720.,805.
4760.,1456.,4760.,15.,4760.,810.
4800.,1474.,4800.,17.,4800.,816.
4840.,1466.,4840.,17.,4840.,810.
4880.,1484.,4880.,17.,4880.,813.
4920.,1490.,4920.,18.,4920.,818.
4960.,1478.,4960.,19.,4960.,823.
5000.,1467.,5000.,19.,5000.,829.
5040.,1471.,5040.,20.,5040.,832.
5080.,1469.,5080.,20.,5080.,838.
5120.,1450.,5120.,21.,5120.,860.
5160.,1438.,5160.,21.,5160.,865.
5200.,1428.,5200.,22.,5200.,882.
5240.,1430.,5240.,21.,5240.,886.
5280.,1423.,5280.,21.,5280.,899.
5320.,1422.,5320.,19.,5320.,882.
5360.,1411.,5360.,17.,5360.,882.
5400.,1411.,5400.,16.,5400.,877.
5440.,1406.,5440.,16.,5440.,871.
5480.,1417.,5480.,16.,5480.,875.
5520.,1413.,5520.,17.,5520.,890.
5560.,1418.,5560.,16.,5560.,880.
5600.,1420.,5600.,17.,5600.,876.
5640.,1413.,5640.,20.,5640.,890.
5680.,1402.,5680.,22.,5680.,892.
5720.,1388.,5720.,24.,5720.,909.
5760.,1378.,5760.,26.,5760.,918.
5800.,1372.,5800.,26.,5800.,916.
5840.,1376.,5840.,25.,5840.,927.
5880.,1372.,5880.,26.,5880.,946.
5920.,1373.,5920.,29.,5920.,955.
5960.,1370.,5960.,30.,5960.,967.
6000.,1360.,6000.,30.,6000.,968.
6040.,1364.,6040.,31.,6040.,973.
6080.,1365.,6080.,33.,6080.,966.
6120.,1356.,6120.,34.,6120.,957.
6160.,1350.,6160.,34.,6160.,958.
6200.,1348.,6200.,35.,6200.,960.
6240.,1335.,6240.,37.,6240.,964.
6280.,1331.,6280.,37.,6280.,976.
