CANCER A cells area_x,CANCER A cells area_y,CANCER B cells area_x,CANCER B cells area_y,Total cancer cell area_x,Total cancer cell area_y
0.,0.0019,0.,0.,0.,0.0019
40.,0.0024,40.,0.,40.,0.0024
80.,0.0025,80.,0.,80.,0.0025
120.,0.0025,120.,0.,120.,0.0025
160.,0.0026,160.,0.,160.,0.0026
200.,0.0027,200.,0.,200.,0.0027
240.,0.0028,240.,0.,240.,0.0028
280.,0.0027,280.,0.,280.,0.0027
320.,0.0028,320.,0.,320.,0.0028
360.,0.0029,360.,0.,360.,0.0029
400.,0.0032,400.,0.,400.,0.0032
440.,0.0033,440.,0.,440.,0.0033
480.,0.0046,480.,0.,480.,0.0046
520.,0.0075,520.,0.,520.,0.0075
560.,0.0112,560.,0.,560.,0.0112
600.,0.0173,600.,0.,600.,0.0173
640.,0.0292,640.,0.,640.,0.0292
680.,0.0444,680.,0.,680.,0.0444
720.,0.0668,720.,0.,720.,0.0668
760.,0.0928,760.,0.0017,760.,0.0945
800.,0.1254,800.,0.0021,800.,0.1275
840.,0.1649,840.,0.0021,840.,0.167
880.,0.202,880.,0.0022,880.,0.2042
920.,0.2453,920.,0.0023,920.,0.2476
960.,0.2865,960.,0.0025,960.,0.289
1000.,0.3284,1000.,0.0026,1000.,0.331
1040.,0.3715,1040.,0.0026,1040.,0.3741
1080.,0.4163,1080.,0.003,1080.,0.4193
1120.,0.468,1120.,0.0041,1120.,0.4721
1160.,0.5251,1160.,0.0049,1160.,0.53
1200.,0.5885,1200.,0.0064,1200.,0.5949
1240.,0.6578,1240.,0.0072,1240.,0.665
1280.,0.742,1280.,0.0084,1280.,0.7504
1320.,0.8341,1320.,0.0093,1320.,0.8434
1360.,0.9306,1360.,0.0102,1360.,0.9408
1400.,1.0393,1400.,0.0103,1400.,1.0496
1440.,1.1487,1440.,0.011,1440.,1.1597
1480.,1.2578,1480.,0.0111,1480.,1.2689
1520.,1.3681,1520.,0.0114,1520.,1.3795
1560.,1.4714,1560.,0.0119,1560.,1.4833
1600.,1.5743,1600.,0.0128,1600.,1.5871
1640.,1.6794,1640.,0.0116,1640.,1.691
1680.,1.7869,1680.,0.0124,1680.,1.7993
1720.,1.8976,1720.,0.0132,1720.,1.9108
1760.,2.0261,1760.,0.0116,1760.,2.0377
1800.,2.1423,1800.,0.0116,1800.,2.1539
1840.,2.2577,1840.,0.0122,1840.,2.2699
1880.,2.387,1880.,0.0123,1880.,2.3993
1920.,2.5318,1920.,0.01,1920.,2.5418
1960.,2.6679,1960.,0.0103,1960.,2.6782
2000.,2.8148,2000.,0.0104,2000.,2.8252
2040.,2.9544,2040.,0.0106,2040.,2.965
2080.,3.0953,2080.,0.0086,2080.,3.1039
2120.,3.2138,2120.,0.0074,2120.,3.2212
2160.,3.2991,2160.,0.0076,2160.,3.3067
2200.,3.3623,2200.,0.0083,2200.,3.3706
2240.,3.3567,2240.,0.0083,2240.,3.365
2280.,3.3523,2280.,0.0087,2280.,3.361
2320.,3.3574,2320.,0.0062,2320.,3.3636
2360.,3.3414,2360.,0.0068,2360.,3.3482
2400.,3.3005,2400.,0.0071,2400.,3.3076
2440.,3.3207,2440.,0.0069,2440.,3.3276
2480.,3.288,2480.,0.0083,2480.,3.2963
2520.,3.2891,2520.,0.0088,2520.,3.2979
2560.,3.3031,2560.,0.008,2560.,3.3111
2600.,3.3139,2600.,0.0087,2600.,3.3226
2640.,3.3213,2640.,0.0077,2640.,3.329
2680.,3.2905,2680.,0.0084,2680.,3.2989
2720.,3.2965,2720.,0.0091,2720.,3.3056
2760.,3.2944,2760.,0.0099,2760.,3.3043
2800.,3.3102,2800.,0.0104,2800.,3.3206
2840.,3.3051,2840.,0.0115,2840.,3.3166
2880.,3.2649,2880.,0.0126,2880.,3.2775
2920.,3.2657,2920.,0.0133,2920.,3.279
2960.,3.2576,2960.,0.0144,2960.,3.272
3000.,3.2566,3000.,0.014,3000.,3.2706
3040.,3.2357,3040.,0.0155,3040.,3.2512
3080.,3.2331,3080.,0.0156,3080.,3.2487
3120.,3.2472,3120.,0.0188,3120.,3.266
3160.,3.2503,3160.,0.02,3160.,3.2703
3200.,3.2283,3200.,0.0222,3200.,3.2505
3240.,3.2193,3240.,0.0242,3240.,3.2435
3280.,3.2276,3280.,0.0225,3280.,3.2501
3320.,3.2115,3320.,0.0232,3320.,3.2347
3360.,3.2377,3360.,0.022,3360.,3.2597
3400.,3.2371,3400.,0.0222,3400.,3.2593
3440.,3.2443,3440.,0.0236,3440.,3.2679
3480.,3.2566,3480.,0.0248,3480.,3.2814
3520.,3.2467,3520.,0.0268,3520.,3.2735
3560.,3.2467,3560.,0.0244,3560.,3.2711
3600.,3.2396,3600.,0.0249,3600.,3.2645
3640.,3.2241,3640.,0.0244,3640.,3.2485
3680.,3.2353,3680.,0.0265,3680.,3.2618
3720.,3.2249,3720.,0.0281,3720.,3.253
3760.,3.2146,3760.,0.0277,3760.,3.2423
3800.,3.2235,3800.,0.0252,3800.,3.2487
3840.,3.2132,3840.,0.0261,3840.,3.2393
3880.,3.2095,3880.,0.0244,3880.,3.2339
3920.,3.176,3920.,0.0254,3920.,3.2014
