cell_ratio_x,cell_ratio_y
0.,0.
40.,0.
80.,0.
120.,0.
160.,0.
200.,0.
240.,0.
280.,0.
320.,0.
360.,0.
400.,0.
440.,0.
480.,0.
520.,0.
560.,0.
600.,0.
640.,0.
680.,0.
720.,0.
760.,0.0208333333
800.,0.0151515152
840.,0.012987013
880.,0.0093457944
920.,0.0081300813
960.,0.0071428571
1000.,0.0058479532
1040.,0.0053191489
1080.,0.009478673
1120.,0.0084745763
1160.,0.0115384615
1200.,0.0102040816
1240.,0.0120120120
1280.,0.0108991826
1320.,0.0096852300
1360.,0.008583691
1400.,0.0116054159
1440.,0.0105820106
1480.,0.0094936709
1520.,0.0087336245
1560.,0.0094979647
1600.,0.0088161209
1640.,0.0071005917
1680.,0.0067264574
1720.,0.0062761506
1760.,0.0049455984
1800.,0.0046296296
1840.,0.0043591979
1880.,0.0049586777
1920.,0.0046547711
1960.,0.0044150110
2000.,0.0042194093
2040.,0.0040053405
2080.,0.0031847134
2120.,0.0024464832
2160.,0.0023752969
2200.,0.002313476
2240.,0.0023148148
2280.,0.0028985507
2320.,0.0017321016
2360.,0.0017211704
2400.,0.0017441860
2440.,0.0023054755
2480.,0.0023269343
2520.,0.0029188558
2560.,0.0023215322
2600.,0.0029002320
2640.,0.0028686173
2680.,0.0028968714
2720.,0.0029120559
2760.,0.0029325513
2800.,0.0034802784
2840.,0.0035252644
2880.,0.0035398230
2920.,0.0035460993
2960.,0.0035273369
3000.,0.0052847915
3040.,0.0059171598
3080.,0.0053412463
3120.,0.0052878966
3160.,0.0064743967
3200.,0.0064102564
3240.,0.0071513707
3280.,0.0065789474
3320.,0.0071985603
3360.,0.0065127294
3400.,0.0076380729
3440.,0.0076696165
3480.,0.0076067876
3520.,0.0081919251
3560.,0.0081727963
3600.,0.0076157001
3640.,0.0075890251
3680.,0.0081680280
3720.,0.0088391279
3760.,0.0088235294
3800.,0.0076425632
3840.,0.0081919251
3880.,0.0075581395
3920.,0.007656066
3960.,0.0071985603
4000.,0.0071813285
4040.,0.0084745763
4080.,0.0085365854
4120.,0.0080346106
4160.,0.0080795525
4200.,0.008140263
4240.,0.0081607031
4280.,0.0101137800
4320.,0.0100819156
4360.,0.0101137800
4400.,0.0101716465
4440.,0.0109819121
4480.,0.0115606936
4520.,0.0116354234
4560.,0.0104575163
4600.,0.01062417
4640.,0.0107095047
4680.,0.0101282917
4720.,0.0102110279
4760.,0.0103021978
4800.,0.0115332429
4840.,0.0115961801
4880.,0.0114555256
4920.,0.0120805369
4960.,0.0128552097
5000.,0.0129516019
5040.,0.0135961931
5080.,0.0136147039
5120.,0.0144827586
5160.,0.0146036161
5200.,0.0154061625
5240.,0.0146853147
5280.,0.0147575545
5320.,0.0133614627
5360.,0.0120481928
5400.,0.0113394755
5440.,0.0113798009
5480.,0.0112914608
5520.,0.0120311394
5560.,0.0112834979
5600.,0.011971831
5640.,0.0141542817
5680.,0.0156918688
5720.,0.0172910663
5760.,0.0188679245
5800.,0.0189504373
5840.,0.0181686047
5880.,0.0189504373
5920.,0.0211216315
5960.,0.0218978102
6000.,0.0220588235
6040.,0.0227272727
6080.,0.0241758242
6120.,0.0250737463
6160.,0.0251851852
6200.,0.0259643917
6240.,0.0277153558
6280.,0.0277986476
6320.,0.0257771039
6360.,0.025
6400.,0.0253261704
6440.,0.0251141553
6480.,0.0242424242
6520.,0.0246268657
6560.,0.0243004418
6600.,0.0242290749
6640.,0.0239825581
6680.,0.0233747261
6720.,0.0241581259
6760.,0.0233747261
6800.,0.0241581259
6840.,0.0240524781
6880.,0.0242647059
6920.,0.0235988201
6960.,0.0241404535
7000.,0.0244263509
7040.,0.0238805970
7080.,0.0242792109
7120.,0.0249244713
7160.,0.0249810749
7200.,0.0242424242
7240.,0.0236280488
7280.,0.0229007634
7320.,0.0220030349
7360.,0.0220030349
7400.,0.0195783133
7440.,0.0205792683
7480.,0.0213252094
7520.,0.0205949657
7560.,0.0206422018
7600.,0.0205949657
7640.,0.0198776758
7680.,0.0196523054
7720.,0.0189825361
7760.,0.0174374526
7800.,0.0167427702
7840.,0.0160673298
7880.,0.0153022188
7920.,0.013667426
7960.,0.0128983308
8000.,0.0129081245
