CANCER A cells_x,CANCER A cells_y,CANCER B cells_x,CANCER B cells_y,Immune cells_x,Immune cells_y
0.,1.,0.,0.,0.,19.
40.,1.,40.,0.,40.,19.
80.,1.,80.,0.,80.,20.
120.,1.,120.,0.,120.,21.
160.,1.,160.,0.,160.,22.
200.,1.,200.,0.,200.,22.
240.,1.,240.,0.,240.,22.
280.,1.,280.,0.,280.,22.
320.,1.,320.,0.,320.,22.
360.,1.,360.,0.,360.,22.
400.,1.,400.,0.,400.,23.
440.,2.,440.,0.,440.,23.
480.,2.,480.,0.,480.,24.
520.,2.,520.,0.,520.,24.
560.,3.,560.,0.,560.,25.
600.,4.,600.,0.,600.,25.
640.,6.,640.,0.,640.,26.
680.,9.,680.,0.,680.,26.
720.,11.,720.,0.,720.,27.
760.,15.,760.,0.,760.,28.
800.,19.,800.,0.,800.,29.
840.,21.,840.,0.,840.,29.
880.,24.,880.,0.,880.,29.
920.,30.,920.,0.,920.,29.
960.,34.,960.,2.,960.,30.
1000.,35.,1000.,2.,1000.,31.
1040.,43.,1040.,3.,1040.,32.
1080.,48.,1080.,3.,1080.,32.
1120.,52.,1120.,4.,1120.,32.
1160.,55.,1160.,4.,1160.,32.
1200.,62.,1200.,4.,1200.,33.
1240.,65.,1240.,4.,1240.,32.
1280.,68.,1280.,5.,1280.,34.
1320.,74.,1320.,5.,1320.,36.
1360.,78.,1360.,7.,1360.,37.
1400.,84.,1400.,7.,1400.,37.
1440.,90.,1440.,7.,1440.,37.
1480.,94.,1480.,7.,1480.,38.
1520.,102.,1520.,7.,1520.,38.
1560.,110.,1560.,7.,1560.,40.
1600.,116.,1600.,7.,1600.,40.
1640.,123.,1640.,7.,1640.,40.
1680.,130.,1680.,8.,1680.,44.
1720.,140.,1720.,8.,1720.,44.
1760.,147.,1760.,8.,1760.,45.
1800.,156.,1800.,8.,1800.,45.
1840.,162.,1840.,8.,1840.,46.
1880.,166.,1880.,8.,1880.,47.
1920.,175.,1920.,8.,1920.,50.
1960.,179.,1960.,8.,1960.,50.
2000.,180.,2000.,7.,2000.,52.
2040.,185.,2040.,7.,2040.,53.
2080.,190.,2080.,7.,2080.,53.
2120.,197.,2120.,7.,2120.,59.
2160.,210.,2160.,7.,2160.,60.
2200.,219.,2200.,8.,2200.,63.
2240.,225.,2240.,9.,2240.,66.
2280.,238.,2280.,9.,2280.,70.
2320.,242.,2320.,9.,2320.,72.
2360.,250.,2360.,9.,2360.,79.
2400.,255.,2400.,9.,2400.,80.
2440.,263.,2440.,10.,2440.,81.
2480.,274.,2480.,11.,2480.,93.
2520.,288.,2520.,11.,2520.,95.
2560.,297.,2560.,11.,2560.,99.
2600.,308.,2600.,11.,2600.,104.
2640.,315.,2640.,11.,2640.,108.
2680.,325.,2680.,12.,2680.,117.
2720.,336.,2720.,13.,2720.,122.
2760.,345.,2760.,13.,2760.,128.
2800.,351.,2800.,13.,2800.,132.
2840.,364.,2840.,13.,2840.,140.
2880.,374.,2880.,13.,2880.,145.
2920.,386.,2920.,13.,2920.,152.
2960.,391.,2960.,13.,2960.,162.
3000.,405.,3000.,13.,3000.,162.
3040.,416.,3040.,13.,3040.,171.
3080.,423.,3080.,13.,3080.,179.
3120.,433.,3120.,13.,3120.,190.
3160.,436.,3160.,13.,3160.,201.
3200.,436.,3200.,14.,3200.,207.
3240.,445.,3240.,14.,3240.,217.
3280.,441.,3280.,14.,3280.,224.
3320.,448.,3320.,14.,3320.,233.
3360.,453.,3360.,14.,3360.,241.
3400.,465.,3400.,14.,3400.,249.
3440.,480.,3440.,14.,3440.,256.
3480.,490.,3480.,14.,3480.,264.
3520.,496.,3520.,14.,3520.,271.
3560.,500.,3560.,14.,3560.,284.
3600.,509.,3600.,15.,3600.,295.
3640.,511.,3640.,16.,3640.,302.
3680.,515.,3680.,18.,3680.,313.
3720.,526.,3720.,18.,3720.,318.
3760.,532.,3760.,20.,3760.,326.
3800.,541.,3800.,20.,3800.,343.
3840.,556.,3840.,21.,3840.,344.
3880.,563.,3880.,20.,3880.,346.
3920.,571.,3920.,21.,3920.,360.
3960.,580.,3960.,21.,3960.,364.
4000.,586.,4000.,21.,4000.,376.
4040.,594.,4040.,21.,4040.,383.
4080.,602.,4080.,21.,4080.,389.
4120.,610.,4120.,22.,4120.,396.
4160.,632.,4160.,21.,4160.,395.
4200.,629.,4200.,20.,4200.,399.
4240.,634.,4240.,20.,4240.,410.
4280.,640.,4280.,20.,4280.,414.
4320.,645.,4320.,20.,4320.,423.
4360.,654.,4360.,21.,4360.,427.
4400.,659.,4400.,20.,4400.,439.
4440.,654.,4440.,21.,4440.,446.
4480.,663.,4480.,21.,4480.,451.
4520.,670.,4520.,21.,4520.,460.
4560.,675.,4560.,21.,4560.,466.
4600.,682.,4600.,21.,4600.,466.
4640.,684.,4640.,21.,4640.,468.
4680.,694.,4680.,22.,4680.,468.
4720.,711.,4720.,22.,4720.,473.
4760.,724.,4760.,22.,4760.,479.
4800.,728.,4800.,22.,4800.,494.
4840.,746.,4840.,22.,4840.,504.
4880.,750.,4880.,22.,4880.,505.
4920.,754.,4920.,22.,4920.,513.
4960.,758.,4960.,24.,4960.,514.
5000.,763.,5000.,22.,5000.,516.
5040.,761.,5040.,24.,5040.,520.
5080.,759.,5080.,25.,5080.,528.
5120.,752.,5120.,25.,5120.,534.
5160.,768.,5160.,25.,5160.,535.
5200.,781.,5200.,24.,5200.,537.
5240.,789.,5240.,25.,5240.,549.
5280.,788.,5280.,25.,5280.,550.
5320.,787.,5320.,26.,5320.,557.
5360.,791.,5360.,28.,5360.,559.
5400.,787.,5400.,28.,5400.,569.
5440.,787.,5440.,28.,5440.,574.
5480.,787.,5480.,29.,5480.,579.
5520.,799.,5520.,29.,5520.,580.
5560.,801.,5560.,30.,5560.,582.
5600.,809.,5600.,30.,5600.,588.
5640.,814.,5640.,30.,5640.,588.
5680.,814.,5680.,30.,5680.,594.
5720.,816.,5720.,29.,5720.,610.
5760.,812.,5760.,29.,5760.,612.
5800.,820.,5800.,30.,5800.,623.
5840.,823.,5840.,30.,5840.,632.
5880.,816.,5880.,30.,5880.,629.
5920.,822.,5920.,31.,5920.,625.
5960.,827.,5960.,31.,5960.,631.
6000.,837.,6000.,31.,6000.,639.
6040.,858.,6040.,30.,6040.,652.
6080.,853.,6080.,28.,6080.,660.
6120.,850.,6120.,29.,6120.,663.
6160.,857.,6160.,28.,6160.,677.
6200.,848.,6200.,28.,6200.,679.
6240.,853.,6240.,28.,6240.,689.
6280.,868.,6280.,28.,6280.,693.
6320.,870.,6320.,28.,6320.,689.
6360.,857.,6360.,27.,6360.,696.
6400.,867.,6400.,28.,6400.,699.
6440.,883.,6440.,28.,6440.,709.
6480.,887.,6480.,28.,6480.,720.
6520.,896.,6520.,29.,6520.,717.
6560.,899.,6560.,28.,6560.,721.
6600.,902.,6600.,28.,6600.,722.
6640.,906.,6640.,27.,6640.,726.
6680.,917.,6680.,28.,6680.,733.
6720.,919.,6720.,31.,6720.,725.
6760.,912.,6760.,30.,6760.,729.
6800.,910.,6800.,30.,6800.,724.
6840.,907.,6840.,31.,6840.,726.
6880.,922.,6880.,32.,6880.,731.
6920.,927.,6920.,34.,6920.,739.
6960.,920.,6960.,33.,6960.,736.
7000.,923.,7000.,33.,7000.,723.
7040.,921.,7040.,33.,7040.,719.
7080.,941.,7080.,32.,7080.,702.
7120.,950.,7120.,32.,7120.,700.
7160.,961.,7160.,31.,7160.,716.
7200.,958.,7200.,32.,7200.,715.
7240.,978.,7240.,31.,7240.,716.
7280.,983.,7280.,32.,7280.,724.
7320.,985.,7320.,32.,7320.,734.
7360.,996.,7360.,33.,7360.,735.
7400.,1010.,7400.,33.,7400.,729.
7440.,1010.,7440.,32.,7440.,740.
7480.,1035.,7480.,32.,7480.,729.
7520.,1062.,7520.,30.,7520.,732.
7560.,1063.,7560.,29.,7560.,720.
7600.,1071.,7600.,28.,7600.,720.
7640.,1079.,7640.,28.,7640.,722.
7680.,1087.,7680.,28.,7680.,723.
7720.,1099.,7720.,29.,7720.,718.
7760.,1112.,7760.,29.,7760.,725.
7800.,1144.,7800.,26.,7800.,727.
7840.,1164.,7840.,26.,7840.,730.
7880.,1196.,7880.,27.,7880.,732.
7920.,1191.,7920.,26.,7920.,729.
7960.,1211.,7960.,27.,7960.,724.
8000.,1223.,8000.,29.,8000.,722.
