CANCER A cells area_x,CANCER A cells area_y,CANCER B cells area_x,CANCER B cells area_y,Total cancer cell area_x,Total cancer cell area_y
0.,0.0022,0.,0.,0.,0.0022
40.,0.0024,40.,0.,40.,0.0024
80.,0.0025,80.,0.,80.,0.0025
120.,0.0025,120.,0.,120.,0.0025
160.,0.0026,160.,0.,160.,0.0026
200.,0.0026,200.,0.,200.,0.0026
240.,0.0027,240.,0.,240.,0.0027
280.,0.0028,280.,0.,280.,0.0028
320.,0.0028,320.,0.,320.,0.0028
360.,0.0028,360.,0.,360.,0.0028
400.,0.0029,400.,0.,400.,0.0029
440.,0.0031,440.,0.,440.,0.0031
480.,0.0032,480.,0.,480.,0.0032
520.,0.004,520.,0.,520.,0.004
560.,0.0058,560.,0.,560.,0.0058
600.,0.0086,600.,0.,600.,0.0086
640.,0.0125,640.,0.,640.,0.0125
680.,0.0171,680.,0.,680.,0.0171
720.,0.0229,720.,0.,720.,0.0229
760.,0.0296,760.,0.,760.,0.0296
800.,0.0383,800.,0.,800.,0.0383
840.,0.0472,840.,0.,840.,0.0472
880.,0.0555,880.,0.,880.,0.0555
920.,0.0643,920.,0.,920.,0.0643
960.,0.0702,960.,0.0031,960.,0.0733
1000.,0.078,1000.,0.0044,1000.,0.0824
1040.,0.0844,1040.,0.0056,1040.,0.09
1080.,0.0918,1080.,0.0069,1080.,0.0987
1120.,0.1029,1120.,0.008,1120.,0.1109
1160.,0.1119,1160.,0.0092,1160.,0.1211
1200.,0.1209,1200.,0.0101,1200.,0.131
1240.,0.1311,1240.,0.0107,1240.,0.1418
1280.,0.1407,1280.,0.0111,1280.,0.1518
1320.,0.1507,1320.,0.0116,1320.,0.1623
1360.,0.1609,1360.,0.0117,1360.,0.1726
1400.,0.1714,1400.,0.0121,1400.,0.1835
1440.,0.1839,1440.,0.0127,1440.,0.1966
1480.,0.1979,1480.,0.0129,1480.,0.2108
1520.,0.2118,1520.,0.0131,1520.,0.2249
1560.,0.2241,1560.,0.0136,1560.,0.2377
1600.,0.2378,1600.,0.0143,1600.,0.2521
1640.,0.2513,1640.,0.0144,1640.,0.2657
1680.,0.2648,1680.,0.015,1680.,0.2798
1720.,0.2813,1720.,0.0155,1720.,0.2968
1760.,0.2961,1760.,0.016,1760.,0.3121
1800.,0.3115,1800.,0.0163,1800.,0.3278
1840.,0.3257,1840.,0.0169,1840.,0.3426
1880.,0.3402,1880.,0.017,1880.,0.3572
1920.,0.3535,1920.,0.0174,1920.,0.3709
1960.,0.3628,1960.,0.0178,1960.,0.3806
2000.,0.378,2000.,0.0162,2000.,0.3942
2040.,0.3926,2040.,0.0166,2040.,0.4092
2080.,0.4095,2080.,0.0169,2080.,0.4264
2120.,0.4187,2120.,0.0174,2120.,0.4361
2160.,0.4331,2160.,0.0175,2160.,0.4506
2200.,0.4494,2200.,0.0183,2200.,0.4677
2240.,0.4626,2240.,0.0187,2240.,0.4813
2280.,0.4793,2280.,0.019,2280.,0.4983
2320.,0.501,2320.,0.0196,2320.,0.5206
2360.,0.5183,2360.,0.0184,2360.,0.5367
2400.,0.5382,2400.,0.0188,2400.,0.557
2440.,0.558,2440.,0.0192,2440.,0.5772
2480.,0.5754,2480.,0.0198,2480.,0.5952
2520.,0.5931,2520.,0.0204,2520.,0.6135
2560.,0.6066,2560.,0.0213,2560.,0.6279
2600.,0.6239,2600.,0.0216,2600.,0.6455
2640.,0.6457,2640.,0.0221,2640.,0.6678
2680.,0.6626,2680.,0.0226,2680.,0.6852
2720.,0.6761,2720.,0.023,2720.,0.6991
2760.,0.6901,2760.,0.0239,2760.,0.714
2800.,0.7059,2800.,0.0251,2800.,0.731
2840.,0.7237,2840.,0.0253,2840.,0.749
2880.,0.737,2880.,0.026,2880.,0.763
2920.,0.7566,2920.,0.0267,2920.,0.7833
2960.,0.7774,2960.,0.0274,2960.,0.8048
3000.,0.7984,3000.,0.0282,3000.,0.8266
3040.,0.819,3040.,0.0287,3040.,0.8477
3080.,0.8444,3080.,0.0298,3080.,0.8742
3120.,0.8657,3120.,0.03,3120.,0.8957
3160.,0.8724,3160.,0.031,3160.,0.9034
3200.,0.8788,3200.,0.0313,3200.,0.9101
3240.,0.8956,3240.,0.0288,3240.,0.9244
3280.,0.8967,3280.,0.0296,3280.,0.9263
3320.,0.9151,3320.,0.0304,3320.,0.9455
3360.,0.926,3360.,0.031,3360.,0.957
3400.,0.9437,3400.,0.0318,3400.,0.9755
3440.,0.9657,3440.,0.0309,3440.,0.9966
3480.,0.9805,3480.,0.0316,3480.,1.0121
3520.,1.0023,3520.,0.0319,3520.,1.0342
3560.,1.0121,3560.,0.0327,3560.,1.0448
3600.,1.0265,3600.,0.0332,3600.,1.0597
3640.,1.034,3640.,0.0338,3640.,1.0678
3680.,1.0487,3680.,0.0336,3680.,1.0823
3720.,1.069,3720.,0.0342,3720.,1.1032
3760.,1.0821,3760.,0.035,3760.,1.1171
3800.,1.0889,3800.,0.0358,3800.,1.1247
3840.,1.1069,3840.,0.0365,3840.,1.1434
3880.,1.119,3880.,0.0356,3880.,1.1546
3920.,1.1325,3920.,0.0365,3920.,1.169
3960.,1.1487,3960.,0.0367,3960.,1.1854
4000.,1.1547,4000.,0.0373,4000.,1.192
4040.,1.1613,4040.,0.0382,4040.,1.1995
4080.,1.1805,4080.,0.0384,4080.,1.2189
