cell_ratio_x,cell_ratio_y
0.,0.
40.,0.
80.,0.
120.,0.
160.,0.
200.,0.
240.,0.
280.,0.
320.,0.
360.,0.
400.,0.
440.,0.
480.,0.
520.,0.
560.,0.
600.,0.
640.,0.
680.,0.
720.,0.
760.,0.
800.,0.
840.,0.
880.,0.
920.,0.
960.,0.0588235294
1000.,0.0571428571
1040.,0.0697674419
1080.,0.0625
1120.,0.0769230769
1160.,0.0727272727
1200.,0.0645161290
1240.,0.0615384615
1280.,0.0735294118
1320.,0.0675675676
1360.,0.0897435897
1400.,0.0833333333
1440.,0.0777777778
1480.,0.0744680851
1520.,0.068627451
1560.,0.0636363636
1600.,0.0603448276
1640.,0.0569105691
1680.,0.0615384615
1720.,0.0571428571
1760.,0.0544217687
1800.,0.0512820513
1840.,0.0493827160
1880.,0.0481927711
1920.,0.0457142857
1960.,0.0446927374
2000.,0.0388888889
2040.,0.0378378378
2080.,0.0368421053
2120.,0.0355329949
2160.,0.0333333333
2200.,0.0365296804
2240.,0.04
2280.,0.0378151261
2320.,0.0371900826
2360.,0.036
2400.,0.0352941176
2440.,0.0380228137
2480.,0.0401459854
2520.,0.0381944444
2560.,0.0370370370
2600.,0.0357142857
2640.,0.0349206349
2680.,0.0369230769
2720.,0.0386904762
2760.,0.0376811594
2800.,0.0370370370
2840.,0.0357142857
2880.,0.0347593583
2920.,0.0336787565
2960.,0.0332480818
3000.,0.0320987654
3040.,0.03125
3080.,0.0307328605
3120.,0.0300230947
3160.,0.0298165138
3200.,0.0321100917
3240.,0.0314606742
3280.,0.0317460317
3320.,0.03125
3360.,0.0309050773
3400.,0.0301075269
3440.,0.0291666667
3480.,0.0285714286
3520.,0.0282258065
3560.,0.028
3600.,0.0294695481
3640.,0.0313111546
3680.,0.0349514563
3720.,0.0342205323
3760.,0.037593985
3800.,0.0369685767
3840.,0.0377697842
3880.,0.0355239787
3920.,0.0367775832
3960.,0.0362068966
4000.,0.0358361775
4040.,0.0353535354
4080.,0.0348837209
4120.,0.0360655738
4160.,0.0332278481
4200.,0.0317965024
4240.,0.0315457413
4280.,0.03125
4320.,0.0310077519
4360.,0.0321100917
4400.,0.0303490137
4440.,0.0321100917
4480.,0.0316742081
4520.,0.0313432836
4560.,0.0311111111
4600.,0.0307917889
4640.,0.0307017544
4680.,0.0317002882
4720.,0.0309423347
4760.,0.0303867403
4800.,0.0302197802
4840.,0.0294906166
4880.,0.0293333333
4920.,0.0291777188
4960.,0.0316622691
5000.,0.0288335518
5040.,0.0315374507
5080.,0.0329380764
5120.,0.0332446809
5160.,0.0325520833
5200.,0.0307298335
5240.,0.0316856781
5280.,0.0317258883
5320.,0.0330368488
5360.,0.0353982301
5400.,0.0355781449
5440.,0.0355781449
5480.,0.0368487929
5520.,0.0362953692
5560.,0.0374531835
5600.,0.0370828183
5640.,0.0368550369
5680.,0.0368550369
5720.,0.0355392157
5760.,0.0357142857
5800.,0.0365853659
5840.,0.0364520049
5880.,0.0367647059
5920.,0.0377128954
5960.,0.0374848851
6000.,0.0370370370
6040.,0.034965035
6080.,0.0328253224
6120.,0.0341176471
6160.,0.0326721120
6200.,0.0330188679
6240.,0.0328253224
6280.,0.0322580645
6320.,0.0321839080
6360.,0.0315052509
6400.,0.0322952710
6440.,0.0317100793
6480.,0.0315670800
6520.,0.0323660714
6560.,0.0311457175
6600.,0.0310421286
6640.,0.0298013245
6680.,0.0305343511
6720.,0.0337323177
6760.,0.0328947368
6800.,0.032967033
6840.,0.0341786108
6880.,0.0347071584
6920.,0.0366774542
6960.,0.0358695652
7000.,0.0357529794
7040.,0.0358306189
7080.,0.0340063762
7120.,0.0336842105
7160.,0.0322580645
7200.,0.0334029228
7240.,0.0316973415
7280.,0.0325534079
7320.,0.0324873096
7360.,0.0331325301
7400.,0.0326732673
7440.,0.0316831683
7480.,0.0309178744
7520.,0.0282485876
7560.,0.0272812794
7600.,0.0261437908
7640.,0.0259499537
7680.,0.0257589696
7720.,0.0263876251
7760.,0.0260791367
7800.,0.0227272727
7840.,0.0223367698
7880.,0.0225752508
7920.,0.0218303946
7960.,0.0222956235
8000.,0.0237121832
