CANCER A cells_x,CANCER A cells_y,CANCER B cells_x,CANCER B cells_y,Immune cells_x,Immune cells_y
0.,1.,0.,0.,0.,20.
40.,1.,40.,0.,40.,20.
80.,1.,80.,0.,80.,20.
120.,1.,120.,0.,120.,20.
160.,1.,160.,0.,160.,20.
200.,2.,200.,0.,200.,21.
240.,2.,240.,0.,240.,21.
280.,2.,280.,0.,280.,22.
320.,4.,320.,0.,320.,23.
360.,6.,360.,0.,360.,23.
400.,7.,400.,0.,400.,24.
440.,9.,440.,0.,440.,24.
480.,14.,480.,0.,480.,26.
520.,16.,520.,0.,520.,26.
560.,18.,560.,0.,560.,27.
600.,21.,600.,0.,600.,28.
640.,23.,640.,0.,640.,29.
680.,26.,680.,0.,680.,30.
720.,26.,720.,0.,720.,30.
760.,31.,760.,0.,760.,30.
800.,33.,800.,1.,800.,31.
840.,38.,840.,1.,840.,32.
880.,41.,880.,1.,880.,32.
920.,45.,920.,1.,920.,33.
960.,46.,960.,1.,960.,33.
1000.,50.,1000.,1.,1000.,34.
1040.,53.,1040.,1.,1040.,34.
1080.,57.,1080.,1.,1080.,35.
1120.,57.,1120.,1.,1120.,36.
1160.,59.,1160.,1.,1160.,36.
1200.,64.,1200.,1.,1200.,36.
1240.,73.,1240.,1.,1240.,36.
1280.,78.,1280.,1.,1280.,38.
1320.,80.,1320.,1.,1320.,39.
1360.,84.,1360.,1.,1360.,39.
1400.,85.,1400.,1.,1400.,39.
1440.,90.,1440.,1.,1440.,39.
1480.,92.,1480.,1.,1480.,44.
1520.,95.,1520.,1.,1520.,44.
1560.,98.,1560.,1.,1560.,45.
1600.,104.,1600.,2.,1600.,46.
1640.,106.,1640.,2.,1640.,48.
1680.,110.,1680.,2.,1680.,51.
1720.,119.,1720.,2.,1720.,54.
1760.,120.,1760.,2.,1760.,56.
1800.,124.,1800.,2.,1800.,60.
1840.,132.,1840.,2.,1840.,65.
1880.,133.,1880.,2.,1880.,66.
1920.,136.,1920.,2.,1920.,67.
1960.,141.,1960.,2.,1960.,67.
