CANCER A cells area_x,CANCER A cells area_y,CANCER B cells area_x,CANCER B cells area_y,Total cancer cell area_x,Total cancer cell area_y
0.,0.0023,0.,0.,0.,0.0023
40.,0.0025,40.,0.,40.,0.0025
80.,0.0025,80.,0.,80.,0.0025
120.,0.0025,120.,0.,120.,0.0025
160.,0.0026,160.,0.,160.,0.0026
200.,0.0032,200.,0.,200.,0.0032
240.,0.0041,240.,0.,240.,0.0041
280.,0.0056,280.,0.,280.,0.0056
320.,0.0079,320.,0.,320.,0.0079
360.,0.0103,360.,0.,360.,0.0103
400.,0.0149,400.,0.,400.,0.0149
440.,0.0197,440.,0.,440.,0.0197
480.,0.0244,480.,0.,480.,0.0244
520.,0.0308,520.,0.,520.,0.0308
560.,0.0364,560.,0.,560.,0.0364
600.,0.0417,600.,0.,600.,0.0417
640.,0.0464,640.,0.,640.,0.0464
680.,0.0522,680.,0.,680.,0.0522
720.,0.0585,720.,0.,720.,0.0585
760.,0.0647,760.,0.,760.,0.0647
800.,0.0693,800.,0.0018,800.,0.0711
840.,0.0767,840.,0.0018,840.,0.0785
880.,0.0842,880.,0.0019,880.,0.0861
920.,0.0903,920.,0.002,920.,0.0923
960.,0.0972,960.,0.002,960.,0.0992
1000.,0.1043,1000.,0.0021,1000.,0.1064
1040.,0.1104,1040.,0.0022,1040.,0.1126
1080.,0.1179,1080.,0.0022,1080.,0.1201
1120.,0.1236,1120.,0.0023,1120.,0.1259
1160.,0.1307,1160.,0.0023,1160.,0.133
1200.,0.139,1200.,0.0024,1200.,0.1414
1240.,0.1453,1240.,0.0024,1240.,0.1477
1280.,0.1527,1280.,0.0025,1280.,0.1552
1320.,0.1575,1320.,0.0026,1320.,0.1601
1360.,0.1654,1360.,0.0026,1360.,0.168
1400.,0.173,1400.,0.0027,1400.,0.1757
1440.,0.1802,1440.,0.0027,1440.,0.1829
1480.,0.1858,1480.,0.0028,1480.,0.1886
1520.,0.1941,1520.,0.0029,1520.,0.197
1560.,0.2038,1560.,0.0029,1560.,0.2067
1600.,0.2114,1600.,0.0031,1600.,0.2145
1640.,0.2211,1640.,0.0032,1640.,0.2243
1680.,0.2296,1680.,0.0032,1680.,0.2328
1720.,0.2379,1720.,0.0034,1720.,0.2413
1760.,0.2483,1760.,0.0034,1760.,0.2517
1800.,0.2573,1800.,0.0035,1800.,0.2608
1840.,0.2662,1840.,0.0036,1840.,0.2698
1880.,0.2744,1880.,0.0038,1880.,0.2782
1920.,0.2812,1920.,0.0037,1920.,0.2849
1960.,0.2943,1960.,0.004,1960.,0.2983
2000.,0.3078,2000.,0.004,2000.,0.3118
2040.,0.3211,2040.,0.0042,2040.,0.3253
2080.,0.3368,2080.,0.0043,2080.,0.3411
2120.,0.3516,2120.,0.0044,2120.,0.356
2160.,0.3667,2160.,0.0044,2160.,0.3711
2200.,0.3785,2200.,0.0048,2200.,0.3833
2240.,0.3947,2240.,0.0047,2240.,0.3994
2280.,0.4103,2280.,0.0049,2280.,0.4152
2320.,0.4237,2320.,0.005,2320.,0.4287
2360.,0.4315,2360.,0.0052,2360.,0.4367
2400.,0.4451,2400.,0.0053,2400.,0.4504
2440.,0.4561,2440.,0.0055,2440.,0.4616
2480.,0.4635,2480.,0.0055,2480.,0.469
2520.,0.472,2520.,0.0056,2520.,0.4776
2560.,0.482,2560.,0.0059,2560.,0.4879
2600.,0.4842,2600.,0.006,2600.,0.4902
2640.,0.4959,2640.,0.006,2640.,0.5019
2680.,0.5057,2680.,0.0063,2680.,0.512
2720.,0.5146,2720.,0.0065,2720.,0.5211
2760.,0.5238,2760.,0.0066,2760.,0.5304
2800.,0.5275,2800.,0.0068,2800.,0.5343
2840.,0.5381,2840.,0.0072,2840.,0.5453
2880.,0.549,2880.,0.0073,2880.,0.5563
2920.,0.5551,2920.,0.0076,2920.,0.5627
2960.,0.5655,2960.,0.0077,2960.,0.5732
3000.,0.572,3000.,0.0081,3000.,0.5801
3040.,0.5876,3040.,0.0082,3040.,0.5958
3080.,0.599,3080.,0.0083,3080.,0.6073
3120.,0.6147,3120.,0.0085,3120.,0.6232
3160.,0.6281,3160.,0.0087,3160.,0.6368
3200.,0.6313,3200.,0.0088,3200.,0.6401
3240.,0.6443,3240.,0.0092,3240.,0.6535
3280.,0.6554,3280.,0.0094,3280.,0.6648
3320.,0.6589,3320.,0.0096,3320.,0.6685
3360.,0.6704,3360.,0.0097,3360.,0.6801
3400.,0.6803,3400.,0.0099,3400.,0.6902
3440.,0.6881,3440.,0.0102,3440.,0.6983
3480.,0.7016,3480.,0.0104,3480.,0.712
