cell_ratio_x,cell_ratio_y
0.,0.
40.,0.
80.,0.
120.,0.
160.,0.
200.,0.
240.,0.
280.,0.
320.,0.
360.,0.
400.,0.
440.,0.
480.,0.
520.,0.
560.,0.
600.,0.
640.,0.
680.,0.
720.,0.
760.,0.
800.,0.0303030303
840.,0.0263157895
880.,0.0243902439
920.,0.0222222222
960.,0.0217391304
1000.,0.02
1040.,0.0188679245
1080.,0.0175438596
1120.,0.0175438596
1160.,0.0169491525
1200.,0.015625
1240.,0.0136986301
1280.,0.0128205128
1320.,0.0125
1360.,0.0119047619
1400.,0.0117647059
1440.,0.0111111111
1480.,0.0108695652
1520.,0.0105263158
1560.,0.0102040816
1600.,0.0192307692
1640.,0.0188679245
1680.,0.0181818182
1720.,0.0168067227
1760.,0.0166666667
1800.,0.0161290323
1840.,0.0151515152
1880.,0.015037594
1920.,0.0147058824
1960.,0.0141843972
2000.,0.0133333333
2040.,0.012987013
2080.,0.0122699387
2120.,0.0118343195
2160.,0.0111111111
2200.,0.0108695652
2240.,0.0104166667
2280.,0.0101522843
2320.,0.0098522167
2360.,0.0097087379
2400.,0.0091324201
2440.,0.0089686099
2480.,0.0088888889
2520.,0.008583691
2560.,0.0126050420
2600.,0.0123966942
2640.,0.0120967742
2680.,0.015503876
2720.,0.0152091255
2760.,0.0152091255
2800.,0.0149812734
2840.,0.0148148148
2880.,0.0142857143
2920.,0.0140845070
2960.,0.0137457045
3000.,0.0134680135
3040.,0.0131147541
3080.,0.0129449838
3120.,0.0126984127
3160.,0.0124610592
3200.,0.0124610592
3240.,0.0121580547
3280.,0.0121212121
3320.,0.012195122
3360.,0.0120481928
3400.,0.0117302053
3440.,0.011627907
3480.,0.0114942529
3520.,0.0113314448
3560.,0.0111111111
3600.,0.0137362637
3640.,0.0134048257
3680.,0.0132625995
3720.,0.0157894737
3760.,0.0182767624
3800.,0.0178117048
3840.,0.0176767677
3880.,0.0177664975
3920.,0.0173697270
3960.,0.0171149144
4000.,0.0168269231
4040.,0.0163934426
4080.,0.0165484634
4120.,0.0162412993
4160.,0.0160183066
4200.,0.0160550459
4240.,0.0157657658
4280.,0.0155555556
4320.,0.0154185022
4360.,0.0152173913
4400.,0.0148619958
4440.,0.0143442623
4480.,0.014198783
4520.,0.0141414141
4560.,0.0158415842
4600.,0.0137795276
4640.,0.0134615385
4680.,0.0134357006
4720.,0.0131826742
4760.,0.0128676471
4800.,0.0124113475
4840.,0.0141093474
4880.,0.0157068063
4920.,0.0153061224
4960.,0.0167785235
5000.,0.0149253731
5040.,0.0147058824
5080.,0.014354067
5120.,0.0141732283
5160.,0.0139968896
5200.,0.0137825421
5240.,0.0134730539
5280.,0.0134529148
5320.,0.0132939439
5360.,0.0131386861
5400.,0.0131195335
5440.,0.0130813953
5480.,0.0114449213
5520.,0.0113636364
5560.,0.0098176718
5600.,0.0096818811
5640.,0.0095628415
5680.,0.0095497954
5720.,0.0095628415
5760.,0.0093708166
5800.,0.0092226614
5840.,0.0091264668
5880.,0.0102827763
5920.,0.0102040816
5960.,0.0101265823
6000.,0.0101265823
6040.,0.0101265823
6080.,0.0102171137
6120.,0.0101781170
6160.,0.0101137800
6200.,0.0087829360
6240.,0.0087390762
6280.,0.0087390762
6320.,0.0086313194
6360.,0.0085470085
6400.,0.008353222
6440.,0.0082742317
6480.,0.0106132075
6520.,0.0103806228
6560.,0.0101694915
6600.,0.0099889012
6640.,0.0098039216
6680.,0.0096051227
6720.,0.0095137421
6760.,0.0083246618
6800.,0.0090725806
6840.,0.0098619329
6880.,0.0085308057
6920.,0.0083102493
6960.,0.0081669691
7000.,0.008
7040.,0.0069686411
7080.,0.0068669528
7120.,0.0067453626
7160.,0.0065681445
7200.,0.0072933549
7240.,0.0072
7280.,0.0070921986
7320.,0.0070257611
7360.,0.0069605568
7400.,0.0061302682
7440.,0.0060790274
7480.,0.006092917
7520.,0.005988024
7560.,0.0059925094
7600.,0.0059925094
7640.,0.0060652009
7680.,0.0060836502
7720.,0.0053475936
7760.,0.006097561
7800.,0.0061443932
7840.,0.0061208875
7880.,0.0061255743
7920.,0.0068649886
7960.,0.0061208875
8000.,0.0068649886
