CANCER A cells_x,CANCER A cells_y,CANCER B cells_x,CANCER B cells_y,Immune cells_x,Immune cells_y
0.,1.,0.,0.,0.,16.
40.,1.,40.,0.,40.,16.
80.,1.,80.,0.,80.,16.
120.,1.,120.,0.,120.,16.
160.,1.,160.,0.,160.,16.
200.,1.,200.,0.,200.,16.
240.,1.,240.,0.,240.,17.
280.,1.,280.,0.,280.,18.
320.,1.,320.,0.,320.,18.
360.,1.,360.,0.,360.,18.
400.,1.,400.,0.,400.,19.
440.,2.,440.,0.,440.,19.
480.,2.,480.,0.,480.,19.
520.,3.,520.,0.,520.,19.
560.,5.,560.,0.,560.,20.
600.,7.,600.,0.,600.,21.
640.,11.,640.,0.,640.,21.
680.,15.,680.,0.,680.,22.
720.,23.,720.,0.,720.,22.
760.,28.,760.,0.,760.,22.
800.,35.,800.,1.,800.,22.
840.,49.,840.,2.,840.,23.
880.,60.,880.,2.,880.,23.
920.,74.,920.,3.,920.,25.
960.,89.,960.,5.,960.,26.
1000.,107.,1000.,5.,1000.,27.
1040.,130.,1040.,6.,1040.,28.
1080.,146.,1080.,7.,1080.,30.
1120.,170.,1120.,8.,1120.,30.
1160.,203.,1160.,9.,1160.,30.
1200.,222.,1200.,11.,1200.,30.
1240.,253.,1240.,12.,1240.,30.
1280.,278.,1280.,13.,1280.,30.
1320.,306.,1320.,14.,1320.,32.
1360.,344.,1360.,16.,1360.,34.
1400.,375.,1400.,18.,1400.,35.
1440.,410.,1440.,20.,1440.,37.
1480.,456.,1480.,21.,1480.,42.
1520.,519.,1520.,23.,1520.,43.
1560.,566.,1560.,26.,1560.,46.
1600.,629.,1600.,28.,1600.,51.
1640.,675.,1640.,33.,1640.,52.
1680.,744.,1680.,37.,1680.,57.
1720.,803.,1720.,38.,1720.,62.
1760.,868.,1760.,44.,1760.,75.
1800.,934.,1800.,45.,1800.,80.
1840.,1009.,1840.,50.,1840.,88.
1880.,1086.,1880.,53.,1880.,99.
1920.,1141.,1920.,59.,1920.,114.
1960.,1224.,1960.,59.,1960.,123.
2000.,1255.,2000.,64.,2000.,129.
2040.,1303.,2040.,66.,2040.,140.
2080.,1336.,2080.,73.,2080.,152.
2120.,1363.,2120.,75.,2120.,160.
2160.,1385.,2160.,81.,2160.,172.
2200.,1433.,2200.,88.,2200.,184.
2240.,1481.,2240.,90.,2240.,194.
2280.,1521.,2280.,94.,2280.,206.
2320.,1570.,2320.,93.,2320.,222.
2360.,1604.,2360.,97.,2360.,231.
2400.,1635.,2400.,93.,2400.,247.
2440.,1668.,2440.,94.,2440.,258.
2480.,1699.,2480.,90.,2480.,273.
2520.,1714.,2520.,91.,2520.,280.
2560.,1728.,2560.,85.,2560.,293.
2600.,1710.,2600.,89.,2600.,296.
2640.,1680.,2640.,85.,2640.,312.
2680.,1676.,2680.,84.,2680.,323.
2720.,1659.,2720.,79.,2720.,338.
2760.,1638.,2760.,78.,2760.,350.
2800.,1603.,2800.,81.,2800.,369.
2840.,1604.,2840.,78.,2840.,389.
2880.,1593.,2880.,78.,2880.,409.
2920.,1592.,2920.,77.,2920.,419.
2960.,1570.,2960.,78.,2960.,434.
3000.,1567.,3000.,77.,3000.,450.
3040.,1560.,3040.,76.,3040.,469.
3080.,1555.,3080.,79.,3080.,481.
3120.,1539.,3120.,75.,3120.,492.
3160.,1525.,3160.,76.,3160.,508.
3200.,1518.,3200.,79.,3200.,520.
3240.,1530.,3240.,75.,3240.,532.
3280.,1521.,3280.,80.,3280.,540.
3320.,1528.,3320.,80.,3320.,555.
3360.,1530.,3360.,81.,3360.,563.
3400.,1538.,3400.,90.,3400.,576.
3440.,1524.,3440.,97.,3440.,587.
3480.,1544.,3480.,107.,3480.,605.
3520.,1530.,3520.,111.,3520.,602.
3560.,1538.,3560.,124.,3560.,614.
3600.,1562.,3600.,145.,3600.,627.
3640.,1581.,3640.,140.,3640.,635.
3680.,1582.,3680.,155.,3680.,660.
3720.,1579.,3720.,157.,3720.,673.
3760.,1554.,3760.,149.,3760.,685.
3800.,1566.,3800.,154.,3800.,692.
3840.,1557.,3840.,149.,3840.,708.
3880.,1563.,3880.,151.,3880.,715.
3920.,1561.,3920.,158.,3920.,714.
3960.,1557.,3960.,163.,3960.,725.
4000.,1567.,4000.,167.,4000.,719.
4040.,1552.,4040.,163.,4040.,717.
4080.,1539.,4080.,163.,4080.,716.
4120.,1533.,4120.,167.,4120.,710.
4160.,1529.,4160.,161.,4160.,724.
4200.,1523.,4200.,156.,4200.,712.
4240.,1505.,4240.,163.,4240.,707.
4280.,1506.,4280.,155.,4280.,706.
4320.,1472.,4320.,159.,4320.,713.
4360.,1474.,4360.,158.,4360.,709.
4400.,1482.,4400.,158.,4400.,719.
4440.,1472.,4440.,163.,4440.,740.
4480.,1462.,4480.,165.,4480.,761.
4520.,1453.,4520.,165.,4520.,757.
4560.,1461.,4560.,164.,4560.,755.
4600.,1444.,4600.,169.,4600.,762.
4640.,1420.,4640.,167.,4640.,747.
4680.,1409.,4680.,171.,4680.,750.
4720.,1406.,4720.,175.,4720.,749.
4760.,1424.,4760.,181.,4760.,741.
4800.,1418.,4800.,189.,4800.,747.
4840.,1412.,4840.,197.,4840.,754.
4880.,1415.,4880.,201.,4880.,751.
4920.,1412.,4920.,196.,4920.,750.
4960.,1410.,4960.,189.,4960.,757.
5000.,1402.,5000.,194.,5000.,770.
5040.,1391.,5040.,187.,5040.,772.
5080.,1381.,5080.,192.,5080.,777.
5120.,1387.,5120.,191.,5120.,781.
5160.,1395.,5160.,190.,5160.,791.
5200.,1393.,5200.,190.,5200.,786.
5240.,1393.,5240.,186.,5240.,799.
5280.,1370.,5280.,194.,5280.,794.
5320.,1357.,5320.,198.,5320.,812.
5360.,1345.,5360.,206.,5360.,819.
5400.,1325.,5400.,206.,5400.,812.
5440.,1312.,5440.,216.,5440.,815.
5480.,1301.,5480.,219.,5480.,825.
5520.,1297.,5520.,217.,5520.,818.
5560.,1295.,5560.,222.,5560.,812.
5600.,1302.,5600.,212.,5600.,805.
5640.,1306.,5640.,209.,5640.,815.
5680.,1300.,5680.,209.,5680.,821.
5720.,1292.,5720.,210.,5720.,834.
5760.,1302.,5760.,214.,5760.,820.
5800.,1301.,5800.,210.,5800.,817.
5840.,1297.,5840.,218.,5840.,835.
5880.,1278.,5880.,216.,5880.,835.
5920.,1265.,5920.,222.,5920.,830.
5960.,1246.,5960.,227.,5960.,829.
