CANCER A cells area_x,CANCER A cells area_y,CANCER B cells area_x,CANCER B cells area_y,Total cancer cell area_x,Total cancer cell area_y
0.,0.0023,0.,0.,0.,0.0023
40.,0.0024,40.,0.,40.,0.0024
80.,0.0025,80.,0.,80.,0.0025
120.,0.0025,120.,0.,120.,0.0025
160.,0.0026,160.,0.,160.,0.0026
200.,0.0027,200.,0.,200.,0.0027
240.,0.0027,240.,0.,240.,0.0027
280.,0.0027,280.,0.,280.,0.0027
320.,0.0028,320.,0.,320.,0.0028
360.,0.0029,360.,0.,360.,0.0029
400.,0.0029,400.,0.,400.,0.0029
440.,0.003,440.,0.,440.,0.003
480.,0.0043,480.,0.,480.,0.0043
520.,0.0063,520.,0.,520.,0.0063
560.,0.009,560.,0.,560.,0.009
600.,0.0144,600.,0.,600.,0.0144
640.,0.0213,640.,0.,640.,0.0213
680.,0.0321,680.,0.,680.,0.0321
720.,0.0421,720.,0.,720.,0.0421
760.,0.0578,760.,0.,760.,0.0578
800.,0.0751,800.,0.0024,800.,0.0775
840.,0.0975,840.,0.0036,840.,0.1011
880.,0.1212,880.,0.005,880.,0.1262
920.,0.1497,920.,0.0069,920.,0.1566
960.,0.1817,960.,0.0077,960.,0.1894
1000.,0.2161,1000.,0.0106,1000.,0.2267
1040.,0.2542,1040.,0.0123,1040.,0.2665
1080.,0.2981,1080.,0.0146,1080.,0.3127
1120.,0.3486,1120.,0.0171,1120.,0.3657
1160.,0.3995,1160.,0.0195,1160.,0.419
1200.,0.4533,1200.,0.0217,1200.,0.475
1240.,0.5068,1240.,0.025,1240.,0.5318
1280.,0.5639,1280.,0.028,1280.,0.5919
1320.,0.6234,1320.,0.0306,1320.,0.654
1360.,0.6899,1360.,0.0327,1360.,0.7226
1400.,0.7569,1400.,0.0356,1400.,0.7925
1440.,0.8414,1440.,0.0383,1440.,0.8797
1480.,0.9223,1480.,0.0397,1480.,0.962
1520.,1.0211,1520.,0.0437,1520.,1.0648
1560.,1.1281,1560.,0.0499,1560.,1.178
1600.,1.2439,1600.,0.0574,1600.,1.3013
1640.,1.3523,1640.,0.064,1640.,1.4163
1680.,1.4792,1680.,0.0736,1680.,1.5528
1720.,1.6102,1720.,0.0802,1720.,1.6904
1760.,1.7442,1760.,0.0859,1760.,1.8301
1800.,1.8636,1800.,0.0953,1800.,1.9589
1840.,1.9962,1840.,0.1021,1840.,2.0983
1880.,2.114,1880.,0.1083,1880.,2.2223
1920.,2.2569,1920.,0.1163,1920.,2.3732
1960.,2.3707,1960.,0.1238,1960.,2.4945
2000.,2.4527,2000.,0.1323,2000.,2.585
2040.,2.5442,2040.,0.1431,2040.,2.6873
2080.,2.5868,2080.,0.1514,2080.,2.7382
2120.,2.644,2120.,0.158,2120.,2.802
2160.,2.7035,2160.,0.1643,2160.,2.8678
2200.,2.7752,2200.,0.1711,2200.,2.9463
2240.,2.8508,2240.,0.1737,2240.,3.0245
2280.,2.9183,2280.,0.1721,2280.,3.0904
2320.,3.0158,2320.,0.175,2320.,3.1908
2360.,3.0918,2360.,0.1799,2360.,3.2717
2400.,3.1676,2400.,0.1814,2400.,3.349
2440.,3.236,2440.,0.1797,2440.,3.4157
2480.,3.2829,2480.,0.1725,2480.,3.4554
2520.,3.3105,2520.,0.171,2520.,3.4815
2560.,3.3085,2560.,0.1641,2560.,3.4726
2600.,3.2945,2600.,0.1679,2600.,3.4624
2640.,3.2595,2640.,0.1643,2640.,3.4238
2680.,3.2305,2680.,0.1637,2680.,3.3942
2720.,3.1897,2720.,0.1575,2720.,3.3472
2760.,3.1581,2760.,0.1541,2760.,3.3122
2800.,3.105,2800.,0.1551,2800.,3.2601
2840.,3.0858,2840.,0.1498,2840.,3.2356
2880.,3.0365,2880.,0.1414,2880.,3.1779
2920.,3.0356,2920.,0.1402,2920.,3.1758
2960.,3.005,2960.,0.1404,2960.,3.1454
3000.,2.9888,3000.,0.1425,3000.,3.1313
3040.,2.9831,3040.,0.1419,3040.,3.125
3080.,2.9746,3080.,0.1516,3080.,3.1262
3120.,2.9754,3120.,0.1495,3120.,3.1249
3160.,2.9523,3160.,0.152,3160.,3.1043
3200.,2.9227,3200.,0.1601,3200.,3.0828
3240.,2.9341,3240.,0.1574,3240.,3.0915
3280.,2.9159,3280.,0.1579,3280.,3.0738
3320.,2.9321,3320.,0.1588,3320.,3.0909
3360.,2.9646,3360.,0.1605,3360.,3.1251
3400.,2.9464,3400.,0.1807,3400.,3.1271
3440.,2.9454,3440.,0.1966,3440.,3.142
3480.,2.9517,3480.,0.1986,3480.,3.1503
3520.,2.9329,3520.,0.207,3520.,3.1399
3560.,2.9649,3560.,0.2196,3560.,3.1845
3600.,2.9692,3600.,0.2425,3600.,3.2117
3640.,3.0075,3640.,0.2501,3640.,3.2576
3680.,3.0031,3680.,0.2593,3680.,3.2624
3720.,2.9824,3720.,0.268,3720.,3.2504
3760.,2.9519,3760.,0.2716,3760.,3.2235
3800.,2.969,3800.,0.272,3800.,3.241
3840.,2.9637,3840.,0.2701,3840.,3.2338
3880.,2.9672,3880.,0.2651,3880.,3.2323
3920.,2.9543,3920.,0.28,3920.,3.2343
3960.,2.9477,3960.,0.2874,3960.,3.2351
4000.,2.9341,4000.,0.2854,4000.,3.2195
4040.,2.8952,4040.,0.2937,4040.,3.1889
4080.,2.864,4080.,0.293,4080.,3.157
4120.,2.861,4120.,0.2893,4120.,3.1503
4160.,2.8486,4160.,0.2884,4160.,3.137
4200.,2.821,4200.,0.288,4200.,3.109
4240.,2.8141,4240.,0.2951,4240.,3.1092
4280.,2.7997,4280.,0.2863,4280.,3.086
4320.,2.7553,4320.,0.2905,4320.,3.0458
4360.,2.7533,4360.,0.2983,4360.,3.0516
4400.,2.7696,4400.,0.2999,4400.,3.0695
4440.,2.746,4440.,0.3059,4440.,3.0519
4480.,2.7258,4480.,0.3099,4480.,3.0357
4520.,2.7384,4520.,0.3118,4520.,3.0502
4560.,2.7485,4560.,0.3172,4560.,3.0657
4600.,2.732,4600.,0.3286,4600.,3.0606
4640.,2.7157,4640.,0.3278,4640.,3.0435
4680.,2.695,4680.,0.3329,4680.,3.0279
4720.,2.7064,4720.,0.3338,4720.,3.0402
4760.,2.7085,4760.,0.3407,4760.,3.0492
4800.,2.6813,4800.,0.3504,4800.,3.0317
4840.,2.6611,4840.,0.3501,4840.,3.0112
4880.,2.6538,4880.,0.3583,4880.,3.0121
4920.,2.6536,4920.,0.3491,4920.,3.0027
4960.,2.6525,4960.,0.3461,4960.,2.9986
5000.,2.626,5000.,0.3532,5000.,2.9792
5040.,2.6038,5040.,0.3436,5040.,2.9474
5080.,2.5976,5080.,0.3493,5080.,2.9469
5120.,2.6115,5120.,0.3497,5120.,2.9612
5160.,2.6323,5160.,0.3561,5160.,2.9884
5200.,2.6148,5200.,0.3622,5200.,2.977
5240.,2.6226,5240.,0.3566,5240.,2.9792
5280.,2.5879,5280.,0.364,5280.,2.9519
5320.,2.5749,5320.,0.3734,5320.,2.9483
5360.,2.5491,5360.,0.386,5360.,2.9351
5400.,2.5315,5400.,0.3801,5400.,2.9116
5440.,2.5041,5440.,0.3861,5440.,2.8902
5480.,2.4884,5480.,0.3968,5480.,2.8852
5520.,2.4732,5520.,0.4003,5520.,2.8735
5560.,2.4662,5560.,0.4091,5560.,2.8753
5600.,2.4687,5600.,0.4089,5600.,2.8776
5640.,2.4798,5640.,0.3958,5640.,2.8756
5680.,2.4693,5680.,0.4024,5680.,2.8717
5720.,2.4314,5720.,0.3981,5720.,2.8295
5760.,2.4371,5760.,0.4122,5760.,2.8493
5800.,2.4138,5800.,0.3995,5800.,2.8133
5840.,2.3945,5840.,0.4082,5840.,2.8027
5880.,2.3661,5880.,0.4032,5880.,2.7693
5920.,2.342,5920.,0.4138,5920.,2.7558
5960.,2.3114,5960.,0.4251,5960.,2.7365
6000.,2.2987,6000.,0.4345,6000.,2.7332
6040.,2.2999,6040.,0.436,6040.,2.7359
6080.,2.3191,6080.,0.4408,6080.,2.7599
6120.,2.313,6120.,0.4433,6120.,2.7563
6160.,2.3096,6160.,0.4478,6160.,2.7574
6200.,2.2887,6200.,0.4555,6200.,2.7442
6240.,2.2713,6240.,0.4549,6240.,2.7262
6280.,2.2673,6280.,0.4501,6280.,2.7174
6320.,2.2516,6320.,0.4614,6320.,2.713
6360.,2.2362,6360.,0.4735,6360.,2.7097
6400.,2.23,6400.,0.4707,6400.,2.7007
6440.,2.2179,6440.,0.4659,6440.,2.6838
6480.,2.203,6480.,0.468,6480.,2.671
6520.,2.1941,6520.,0.4791,6520.,2.6732
6560.,2.191,6560.,0.4865,6560.,2.6775
6600.,2.177,6600.,0.495,6600.,2.672
6640.,2.1619,6640.,0.5006,6640.,2.6625
6680.,2.1522,6680.,0.5025,6680.,2.6547
6720.,2.1264,6720.,0.5103,6720.,2.6367
6760.,2.1264,6760.,0.5168,6760.,2.6432
6800.,2.1416,6800.,0.5298,6800.,2.6714
6840.,2.1446,6840.,0.5238,6840.,2.6684
6880.,2.1422,6880.,0.5271,6880.,2.6693
6920.,2.1177,6920.,0.5349,6920.,2.6526
6960.,2.1034,6960.,0.5406,6960.,2.644
7000.,2.1128,7000.,0.5304,7000.,2.6432
7040.,2.1084,7040.,0.5247,7040.,2.6331
7080.,2.0919,7080.,0.5268,7080.,2.6187
7120.,2.0836,7120.,0.5265,7120.,2.6101
7160.,2.0942,7160.,0.5298,7160.,2.624
7200.,2.0704,7200.,0.5397,7200.,2.6101
7240.,2.0588,7240.,0.5424,7240.,2.6012
7280.,2.0796,7280.,0.5338,7280.,2.6134
7320.,2.0951,7320.,0.5323,7320.,2.6274
7360.,2.102,7360.,0.5322,7360.,2.6342
7400.,2.1013,7400.,0.5387,7400.,2.64
7440.,2.1157,7440.,0.5376,7440.,2.6533
7480.,2.1046,7480.,0.5354,7480.,2.64
7520.,2.097,7520.,0.5327,7520.,2.6297
7560.,2.1193,7560.,0.5377,7560.,2.657
7600.,2.1186,7600.,0.528,7600.,2.6466
7640.,2.109,7640.,0.5328,7640.,2.6418
7680.,2.1233,7680.,0.5366,7680.,2.6599
