cell_ratio_x,cell_ratio_y
0.,0.
40.,0.
80.,0.
120.,0.
160.,0.
200.,0.
240.,0.
280.,0.
320.,0.
360.,0.
400.,0.
440.,0.
480.,0.
520.,0.
560.,0.
600.,0.
640.,0.
680.,0.
720.,0.
760.,0.
800.,0.0285714286
840.,0.0408163265
880.,0.0333333333
920.,0.0405405405
960.,0.0561797753
1000.,0.046728972
1040.,0.0461538462
1080.,0.0479452055
1120.,0.0470588235
1160.,0.0443349754
1200.,0.0495495495
1240.,0.0474308300
1280.,0.0467625899
1320.,0.045751634
1360.,0.0465116279
1400.,0.048
1440.,0.0487804878
1480.,0.0460526316
1520.,0.0443159923
1560.,0.0459363958
1600.,0.0445151033
1640.,0.0488888889
1680.,0.0497311828
1720.,0.0473225405
1760.,0.0506912442
1800.,0.0481798715
1840.,0.0495540139
1880.,0.0488029466
1920.,0.0517090272
1960.,0.0482026144
2000.,0.0509960159
2040.,0.0506523408
2080.,0.0546407186
2120.,0.0550256787
2160.,0.0584837545
2200.,0.0614096301
2240.,0.0607697502
2280.,0.0618014464
2320.,0.0592356688
2360.,0.0604738155
2400.,0.0568807339
2440.,0.0563549161
2480.,0.0529723367
2520.,0.0530921820
2560.,0.0491898148
2600.,0.0520467836
2640.,0.0505952381
2680.,0.0501193317
2720.,0.0476190476
2760.,0.0476190476
2800.,0.0505302558
2840.,0.0486284289
2880.,0.0489642185
2920.,0.0483668342
2960.,0.0496815287
3000.,0.0491384812
3040.,0.0487179487
3080.,0.0508038585
3120.,0.0487329435
3160.,0.0498360656
3200.,0.0520421607
3240.,0.0490196078
3280.,0.0525969757
3320.,0.0523560209
3360.,0.0529411765
3400.,0.0585175553
3440.,0.063648294
3480.,0.0693005181
3520.,0.0725490196
3560.,0.0806241873
3600.,0.0928297055
3640.,0.0885515497
3680.,0.097977244
3720.,0.099430019
3760.,0.0958815959
3800.,0.0983397190
3840.,0.0956968529
3880.,0.0966090851
3920.,0.1012171685
3960.,0.1046885035
4000.,0.1065730696
4040.,0.1050257732
4080.,0.1059129305
4120.,0.1089367254
4160.,0.1052975801
4200.,0.1024294156
4240.,0.1083056478
4280.,0.1029216467
4320.,0.1080163043
4360.,0.1071913161
4400.,0.1066126856
4440.,0.1107336957
4480.,0.1128590971
4520.,0.1135581555
4560.,0.1122518823
4600.,0.1170360111
4640.,0.1176056338
4680.,0.1213626686
4720.,0.1244665718
4760.,0.1271067416
4800.,0.1332863188
4840.,0.1395184136
4880.,0.14204947
4920.,0.1388101983
4960.,0.1340425532
5000.,0.1383737518
5040.,0.1344356578
5080.,0.1390296886
5120.,0.1377072819
5160.,0.1362007168
5200.,0.1363962670
5240.,0.1335247667
5280.,0.1416058394
5320.,0.1459100958
5360.,0.1531598513
5400.,0.1554716981
5440.,0.1646341463
5480.,0.1683320523
5520.,0.1673091750
5560.,0.1714285714
5600.,0.1628264209
5640.,0.1600306279
5680.,0.1607692308
5720.,0.1625386997
5760.,0.1643625192
5800.,0.1614142967
5840.,0.1680801850
5880.,0.1690140845
5920.,0.1754940711
5960.,0.1821829856
6000.,0.1828478964
6040.,0.1861788618
6080.,0.1903594771
6120.,0.1861788618
6160.,0.1919606235
6200.,0.1955628595
6240.,0.199669967
6280.,0.2009925558
6320.,0.210175146
6360.,0.2153069807
6400.,0.2181663837
6440.,0.2129471891
6480.,0.2151462995
6520.,0.2202948829
6560.,0.2240484429
6600.,0.2277056277
6640.,0.2364746946
6680.,0.2455985915
6720.,0.2517857143
6760.,0.2526690391
6800.,0.2624113475
6840.,0.2546419098
6880.,0.2557522124
6920.,0.267264574
6960.,0.2700270027
7000.,0.2645739910
7040.,0.2618409294
7080.,0.2598920863
7120.,0.2573991031
7160.,0.2589605735
7200.,0.2652689152
7240.,0.2682701203
7280.,0.2646520147
7320.,0.2547597461
7360.,0.2615803815
7400.,0.2622504537
7440.,0.2565492322
7480.,0.2608303249
7520.,0.2551477171
7560.,0.2548845471
7600.,0.2524101665
7640.,0.2547826087
7680.,0.2569686411
7720.,0.2517361111
7760.,0.2568888889
7800.,0.2566607460
7840.,0.2515611062
7880.,0.2509025271
7920.,0.2470373747
7960.,0.2530120482
8000.,0.2502299908
