CANCER A cells_x,CANCER A cells_y,CANCER B cells_x,CANCER B cells_y,Immune cells_x,Immune cells_y
0.,1.,0.,0.,0.,18.
40.,1.,40.,0.,40.,18.
80.,1.,80.,0.,80.,18.
120.,1.,120.,0.,120.,18.
160.,1.,160.,0.,160.,18.
200.,1.,200.,0.,200.,18.
240.,1.,240.,0.,240.,18.
280.,2.,280.,0.,280.,18.
320.,2.,320.,0.,320.,18.
360.,3.,360.,0.,360.,18.
400.,4.,400.,0.,400.,19.
440.,4.,440.,0.,440.,20.
480.,8.,480.,0.,480.,21.
520.,13.,520.,0.,520.,21.
560.,15.,560.,0.,560.,22.
600.,22.,600.,0.,600.,24.
640.,32.,640.,1.,640.,24.
680.,39.,680.,1.,680.,24.
720.,50.,720.,2.,720.,25.
760.,60.,760.,2.,760.,25.
800.,75.,800.,2.,800.,25.
840.,86.,840.,2.,840.,25.
880.,106.,880.,3.,880.,26.
920.,121.,920.,3.,920.,26.
960.,146.,960.,3.,960.,28.
1000.,161.,1000.,3.,1000.,29.
1040.,178.,1040.,4.,1040.,29.
1080.,209.,1080.,4.,1080.,29.
1120.,233.,1120.,4.,1120.,30.
1160.,255.,1160.,4.,1160.,31.
1200.,279.,1200.,6.,1200.,31.
1240.,302.,1240.,6.,1240.,32.
1280.,335.,1280.,8.,1280.,32.
1320.,360.,1320.,9.,1320.,34.
1360.,396.,1360.,9.,1360.,34.
1400.,430.,1400.,10.,1400.,40.
1440.,459.,1440.,12.,1440.,42.
1480.,493.,1480.,13.,1480.,42.
1520.,520.,1520.,13.,1520.,46.
1560.,565.,1560.,13.,1560.,49.
1600.,611.,1600.,15.,1600.,50.
1640.,649.,1640.,13.,1640.,55.
1680.,688.,1680.,13.,1680.,60.
1720.,736.,1720.,13.,1720.,69.
1760.,779.,1760.,14.,1760.,78.
1800.,845.,1800.,14.,1800.,83.
1840.,902.,1840.,15.,1840.,90.
1880.,975.,1880.,15.,1880.,92.
1920.,1036.,1920.,17.,1920.,102.
1960.,1103.,1960.,17.,1960.,108.
2000.,1194.,2000.,17.,2000.,117.
2040.,1251.,2040.,17.,2040.,130.
2080.,1315.,2080.,17.,2080.,138.
2120.,1363.,2120.,17.,2120.,154.
2160.,1386.,2160.,17.,2160.,162.
2200.,1425.,2200.,17.,2200.,178.
2240.,1456.,2240.,18.,2240.,189.
2280.,1484.,2280.,20.,2280.,202.
2320.,1533.,2320.,20.,2320.,215.
2360.,1566.,2360.,21.,2360.,240.
2400.,1593.,2400.,21.,2400.,259.
2440.,1602.,2440.,22.,2440.,274.
2480.,1594.,2480.,23.,2480.,292.
2520.,1608.,2520.,22.,2520.,315.
2560.,1590.,2560.,24.,2560.,339.
2600.,1580.,2600.,23.,2600.,358.
2640.,1587.,2640.,22.,2640.,379.
2680.,1577.,2680.,22.,2680.,403.
2720.,1581.,2720.,22.,2720.,414.
2760.,1579.,2760.,23.,2760.,435.
2800.,1560.,2800.,24.,2800.,455.
2840.,1574.,2840.,23.,2840.,469.
2880.,1583.,2880.,23.,2880.,493.
2920.,1603.,2920.,22.,2920.,504.
2960.,1597.,2960.,22.,2960.,506.
3000.,1586.,3000.,22.,3000.,521.
3040.,1603.,3040.,23.,3040.,530.
3080.,1626.,3080.,23.,3080.,533.
3120.,1626.,3120.,25.,3120.,545.
3160.,1646.,3160.,26.,3160.,560.
3200.,1637.,3200.,27.,3200.,560.
3240.,1622.,3240.,27.,3240.,585.
3280.,1619.,3280.,32.,3280.,591.
3320.,1626.,3320.,31.,3320.,603.
3360.,1640.,3360.,35.,3360.,613.
3400.,1650.,3400.,38.,3400.,618.
3440.,1647.,3440.,44.,3440.,622.
3480.,1639.,3480.,46.,3480.,631.
3520.,1653.,3520.,44.,3520.,633.
3560.,1641.,3560.,43.,3560.,645.
3600.,1639.,3600.,47.,3600.,643.
3640.,1619.,3640.,49.,3640.,647.
3680.,1600.,3680.,49.,3680.,662.
3720.,1585.,3720.,47.,3720.,648.
3760.,1582.,3760.,46.,3760.,638.
3800.,1602.,3800.,44.,3800.,652.
3840.,1607.,3840.,44.,3840.,657.
3880.,1599.,3880.,46.,3880.,654.
3920.,1622.,3920.,48.,3920.,661.
3960.,1613.,3960.,49.,3960.,667.
4000.,1612.,4000.,50.,4000.,661.
4040.,1609.,4040.,49.,4040.,667.
4080.,1602.,4080.,49.,4080.,682.
4120.,1607.,4120.,50.,4120.,697.
4160.,1579.,4160.,51.,4160.,710.
4200.,1564.,4200.,54.,4200.,703.
4240.,1557.,4240.,54.,4240.,712.
4280.,1559.,4280.,56.,4280.,715.
4320.,1557.,4320.,58.,4320.,715.
4360.,1562.,4360.,60.,4360.,720.
4400.,1566.,4400.,58.,4400.,720.
4440.,1551.,4440.,58.,4440.,729.
4480.,1541.,4480.,57.,4480.,745.
4520.,1541.,4520.,59.,4520.,747.
4560.,1528.,4560.,61.,4560.,759.
4600.,1521.,4600.,62.,4600.,747.
4640.,1529.,4640.,61.,4640.,767.
4680.,1506.,4680.,59.,4680.,778.
4720.,1497.,4720.,54.,4720.,770.
4760.,1480.,4760.,54.,4760.,775.
4800.,1474.,4800.,55.,4800.,786.
4840.,1493.,4840.,55.,4840.,792.
4880.,1503.,4880.,54.,4880.,783.
4920.,1505.,4920.,55.,4920.,783.
4960.,1522.,4960.,56.,4960.,788.
5000.,1509.,5000.,57.,5000.,808.
5040.,1499.,5040.,55.,5040.,806.
5080.,1491.,5080.,55.,5080.,805.
5120.,1486.,5120.,58.,5120.,812.
5160.,1485.,5160.,59.,5160.,804.
5200.,1467.,5200.,61.,5200.,812.
5240.,1463.,5240.,60.,5240.,813.
5280.,1452.,5280.,61.,5280.,811.
5320.,1441.,5320.,66.,5320.,820.
5360.,1443.,5360.,65.,5360.,836.
5400.,1454.,5400.,65.,5400.,834.
5440.,1446.,5440.,65.,5440.,837.
5480.,1429.,5480.,63.,5480.,838.
5520.,1441.,5520.,63.,5520.,837.
5560.,1452.,5560.,64.,5560.,837.
5600.,1437.,5600.,63.,5600.,838.
5640.,1433.,5640.,64.,5640.,834.
5680.,1429.,5680.,68.,5680.,841.
5720.,1410.,5720.,66.,5720.,859.
5760.,1427.,5760.,66.,5760.,860.
5800.,1421.,5800.,60.,5800.,849.
5840.,1429.,5840.,60.,5840.,851.
5880.,1421.,5880.,61.,5880.,872.
5920.,1417.,5920.,61.,5920.,877.
5960.,1427.,5960.,61.,5960.,878.
6000.,1411.,6000.,60.,6000.,892.
6040.,1395.,6040.,59.,6040.,880.
6080.,1390.,6080.,63.,6080.,873.
6120.,1392.,6120.,67.,6120.,885.
6160.,1379.,6160.,65.,6160.,883.
6200.,1391.,6200.,67.,6200.,875.
6240.,1381.,6240.,65.,6240.,852.
6280.,1383.,6280.,67.,6280.,861.
