CANCER A cells area_x,CANCER A cells area_y,CANCER B cells area_x,CANCER B cells area_y,Total cancer cell area_x,Total cancer cell area_y
0.,0.0023,0.,0.,0.,0.0023
40.,0.0024,40.,0.,40.,0.0024
80.,0.0025,80.,0.,80.,0.0025
120.,0.0026,120.,0.,120.,0.0026
160.,0.0026,160.,0.,160.,0.0026
200.,0.0026,200.,0.,200.,0.0026
240.,0.0028,240.,0.,240.,0.0028
280.,0.0032,280.,0.,280.,0.0032
320.,0.0041,320.,0.,320.,0.0041
360.,0.0054,360.,0.,360.,0.0054
400.,0.007,400.,0.,400.,0.007
440.,0.0103,440.,0.,440.,0.0103
480.,0.0153,480.,0.,480.,0.0153
520.,0.0221,520.,0.,520.,0.0221
560.,0.0331,560.,0.,560.,0.0331
600.,0.0462,600.,0.,600.,0.0462
640.,0.0613,640.,0.0021,640.,0.0634
680.,0.081,680.,0.0027,680.,0.0837
720.,0.1025,720.,0.0031,720.,0.1056
760.,0.1277,760.,0.0039,760.,0.1316
800.,0.152,800.,0.0046,800.,0.1566
840.,0.1784,840.,0.005,840.,0.1834
880.,0.2049,880.,0.0052,880.,0.2101
920.,0.2387,920.,0.0057,920.,0.2444
960.,0.2767,960.,0.0059,960.,0.2826
1000.,0.3162,1000.,0.0066,1000.,0.3228
1040.,0.3622,1040.,0.0069,1040.,0.3691
1080.,0.4077,1080.,0.0083,1080.,0.416
1120.,0.4554,1120.,0.0095,1120.,0.4649
1160.,0.5044,1160.,0.0101,1160.,0.5145
1200.,0.5575,1200.,0.011,1200.,0.5685
1240.,0.6116,1240.,0.0125,1240.,0.6241
1280.,0.6745,1280.,0.0132,1280.,0.6877
1320.,0.7427,1320.,0.015,1320.,0.7577
1360.,0.8051,1360.,0.0173,1360.,0.8224
1400.,0.879,1400.,0.0195,1400.,0.8985
1440.,0.9531,1440.,0.0207,1440.,0.9738
1480.,1.0113,1480.,0.0228,1480.,1.0341
1520.,1.0859,1520.,0.0246,1520.,1.1105
1560.,1.1558,1560.,0.0267,1560.,1.1825
1600.,1.247,1600.,0.0282,1600.,1.2752
1640.,1.3269,1640.,0.026,1640.,1.3529
1680.,1.4065,1680.,0.0255,1680.,1.432
1720.,1.5067,1720.,0.0265,1720.,1.5332
1760.,1.5944,1760.,0.0268,1760.,1.6212
1800.,1.7031,1800.,0.0274,1800.,1.7305
1840.,1.8243,1840.,0.0278,1840.,1.8521
1880.,1.9627,1880.,0.0285,1880.,1.9912
1920.,2.0919,1920.,0.0286,1920.,2.1205
1960.,2.2227,1960.,0.0295,1960.,2.2522
2000.,2.3576,2000.,0.0305,2000.,2.3881
2040.,2.4942,2040.,0.0319,2040.,2.5261
2080.,2.5988,2080.,0.0323,2080.,2.6311
2120.,2.6893,2120.,0.0339,2120.,2.7232
2160.,2.7552,2160.,0.0349,2160.,2.7901
2200.,2.8291,2200.,0.0346,2200.,2.8637
2240.,2.8947,2240.,0.0357,2240.,2.9304
2280.,2.9277,2280.,0.0372,2280.,2.9649
2320.,2.9934,2320.,0.0389,2320.,3.0323
2360.,3.0418,2360.,0.0402,2360.,3.082
2400.,3.077,2400.,0.0415,2400.,3.1185
2440.,3.0715,2440.,0.0431,2440.,3.1146
2480.,3.0716,2480.,0.0434,2480.,3.115
2520.,3.1045,2520.,0.0415,2520.,3.146
2560.,3.0786,2560.,0.0406,2560.,3.1192
2600.,3.0626,2600.,0.0406,2600.,3.1032
2640.,3.0362,2640.,0.0386,2640.,3.0748
2680.,3.0321,2680.,0.0401,2680.,3.0722
2720.,3.0066,2720.,0.0408,2720.,3.0474
2760.,3.0031,2760.,0.0423,2760.,3.0454
2800.,2.9991,2800.,0.0412,2800.,3.0403
2840.,3.0208,2840.,0.0391,2840.,3.0599
2880.,3.037,2880.,0.0398,2880.,3.0768
2920.,3.0614,2920.,0.0382,2920.,3.0996
2960.,3.0717,2960.,0.0396,2960.,3.1113
3000.,3.0585,3000.,0.0389,3000.,3.0974
3040.,3.0783,3040.,0.0431,3040.,3.1214
3080.,3.0927,3080.,0.0436,3080.,3.1363
3120.,3.1224,3120.,0.0466,3120.,3.169
3160.,3.1345,3160.,0.0506,3160.,3.1851
3200.,3.1286,3200.,0.0498,3200.,3.1784
3240.,3.0727,3240.,0.0518,3240.,3.1245
3280.,3.0575,3280.,0.055,3280.,3.1125
3320.,3.0663,3320.,0.0584,3320.,3.1247
3360.,3.0836,3360.,0.0649,3360.,3.1485
3400.,3.1231,3400.,0.0722,3400.,3.1953
3440.,3.0945,3440.,0.0789,3440.,3.1734
3480.,3.1073,3480.,0.0845,3480.,3.1918
3520.,3.1103,3520.,0.0827,3520.,3.193
3560.,3.0956,3560.,0.083,3560.,3.1786
3600.,3.0961,3600.,0.0877,3600.,3.1838
3640.,3.0666,3640.,0.0892,3640.,3.1558
3680.,3.0343,3680.,0.0926,3680.,3.1269
3720.,3.0305,3720.,0.0905,3720.,3.121
3760.,3.0241,3760.,0.089,3760.,3.1131
3800.,3.0439,3800.,0.0864,3800.,3.1303
3840.,3.0482,3840.,0.0838,3840.,3.132
3880.,3.0422,3880.,0.0866,3880.,3.1288
3920.,3.0491,3920.,0.0868,3920.,3.1359
3960.,3.0402,3960.,0.0889,3960.,3.1291
4000.,3.0336,4000.,0.0919,4000.,3.1255
4040.,3.0167,4040.,0.0931,4040.,3.1098
4080.,2.9761,4080.,0.0914,4080.,3.0675
4120.,2.9842,4120.,0.0945,4120.,3.0787
4160.,2.9547,4160.,0.0968,4160.,3.0515
4200.,2.9596,4200.,0.1007,4200.,3.0603
4240.,2.951,4240.,0.1036,4240.,3.0546
4280.,2.9377,4280.,0.1033,4280.,3.041
4320.,2.9277,4320.,0.1021,4320.,3.0298
4360.,2.94,4360.,0.1056,4360.,3.0456
4400.,2.9417,4400.,0.1069,4400.,3.0486
4440.,2.9433,4440.,0.1103,4440.,3.0536
4480.,2.9264,4480.,0.1075,4480.,3.0339
4520.,2.9149,4520.,0.1114,4520.,3.0263
4560.,2.8989,4560.,0.1141,4560.,3.013
4600.,2.8994,4600.,0.1182,4600.,3.0176
4640.,2.9067,4640.,0.1165,4640.,3.0232
4680.,2.8574,4680.,0.1079,4680.,2.9653
4720.,2.8354,4720.,0.1003,4720.,2.9357
4760.,2.8085,4760.,0.1011,4760.,2.9096
4800.,2.8035,4800.,0.1057,4800.,2.9092
4840.,2.7862,4840.,0.1071,4840.,2.8933
4880.,2.8162,4880.,0.1076,4880.,2.9238
4920.,2.8147,4920.,0.1065,4920.,2.9212
4960.,2.845,4960.,0.1075,4960.,2.9525
5000.,2.8361,5000.,0.1114,5000.,2.9475
5040.,2.8355,5040.,0.1096,5040.,2.9451
5080.,2.8382,5080.,0.1106,5080.,2.9488
5120.,2.8463,5120.,0.1104,5120.,2.9567
5160.,2.8328,5160.,0.1138,5160.,2.9466
5200.,2.7891,5200.,0.113,5200.,2.9021
5240.,2.7869,5240.,0.112,5240.,2.8989
5280.,2.7772,5280.,0.1136,5280.,2.8908
5320.,2.7671,5320.,0.1159,5320.,2.883
5360.,2.7666,5360.,0.1188,5360.,2.8854
5400.,2.7678,5400.,0.1206,5400.,2.8884
5440.,2.7624,5440.,0.1209,5440.,2.8833
5480.,2.7481,5480.,0.1209,5480.,2.869
5520.,2.7453,5520.,0.1218,5520.,2.8671
5560.,2.7567,5560.,0.1252,5560.,2.8819
5600.,2.7392,5600.,0.1281,5600.,2.8673
5640.,2.7282,5640.,0.132,5640.,2.8602
5680.,2.7063,5680.,0.1325,5680.,2.8388
5720.,2.671,5720.,0.1318,5720.,2.8028
5760.,2.6868,5760.,0.1258,5760.,2.8126
5800.,2.6714,5800.,0.1133,5800.,2.7847
5840.,2.6876,5840.,0.1144,5840.,2.802
5880.,2.6888,5880.,0.1179,5880.,2.8067
5920.,2.6804,5920.,0.1172,5920.,2.7976
5960.,2.6806,5960.,0.1172,5960.,2.7978
6000.,2.6702,6000.,0.1185,6000.,2.7887
6040.,2.665,6040.,0.1208,6040.,2.7858
6080.,2.6585,6080.,0.1226,6080.,2.7811
6120.,2.6676,6120.,0.1246,6120.,2.7922
6160.,2.6574,6160.,0.1158,6160.,2.7732
6200.,2.6346,6200.,0.1135,6200.,2.7481
6240.,2.6397,6240.,0.1117,6240.,2.7514
6280.,2.6396,6280.,0.1146,6280.,2.7542
6320.,2.6322,6320.,0.1162,6320.,2.7484
6360.,2.6128,6360.,0.1146,6360.,2.7274
6400.,2.6072,6400.,0.1221,6400.,2.7293
6440.,2.582,6440.,0.1229,6440.,2.7049
6480.,2.5573,6480.,0.1277,6480.,2.685
6520.,2.5709,6520.,0.1323,6520.,2.7032
6560.,2.5522,6560.,0.1386,6560.,2.6908
6600.,2.5483,6600.,0.1391,6600.,2.6874
6640.,2.5548,6640.,0.1369,6640.,2.6917
6680.,2.5428,6680.,0.1382,6680.,2.681
6720.,2.5528,6720.,0.1413,6720.,2.6941
6760.,2.5502,6760.,0.1468,6760.,2.697
6800.,2.5504,6800.,0.1469,6800.,2.6973
6840.,2.5139,6840.,0.1511,6840.,2.665
6880.,2.5211,6880.,0.1542,6880.,2.6753
6920.,2.5091,6920.,0.1566,6920.,2.6657
6960.,2.4988,6960.,0.1526,6960.,2.6514
7000.,2.4995,7000.,0.153,7000.,2.6525
7040.,2.465,7040.,0.1484,7040.,2.6134
7080.,2.4798,7080.,0.148,7080.,2.6278
7120.,2.4498,7120.,0.1457,7120.,2.5955
7160.,2.4566,7160.,0.1468,7160.,2.6034
7200.,2.444,7200.,0.1469,7200.,2.5909
7240.,2.4431,7240.,0.1452,7240.,2.5883
7280.,2.4616,7280.,0.1481,7280.,2.6097
7320.,2.4575,7320.,0.1446,7320.,2.6021
7360.,2.4547,7360.,0.1393,7360.,2.594
7400.,2.4579,7400.,0.1362,7400.,2.5941
7440.,2.4531,7440.,0.1345,7440.,2.5876
7480.,2.4364,7480.,0.1277,7480.,2.5641
7520.,2.4355,7520.,0.1288,7520.,2.5643
7560.,2.4519,7560.,0.1312,7560.,2.5831
7600.,2.4628,7600.,0.1329,7600.,2.5957
7640.,2.4806,7640.,0.1338,7640.,2.6144
