CANCER A cells area_x,CANCER A cells area_y,CANCER B cells area_x,CANCER B cells area_y,Total cancer cell area_x,Total cancer cell area_y
0.,0.0024,0.,0.,0.,0.0024
40.,0.0024,40.,0.,40.,0.0024
80.,0.0025,80.,0.,80.,0.0025
120.,0.0026,120.,0.,120.,0.0026
160.,0.0045,160.,0.,160.,0.0045
200.,0.0077,200.,0.,200.,0.0077
240.,0.0154,240.,0.,240.,0.0154
280.,0.0314,280.,0.,280.,0.0314
320.,0.0663,320.,0.0028,320.,0.0691
360.,0.1335,360.,0.0056,360.,0.1391
400.,0.2356,400.,0.0092,400.,0.2448
440.,0.3694,440.,0.014,440.,0.3834
480.,0.548,480.,0.0215,480.,0.5695
520.,0.7437,520.,0.0332,520.,0.7769
560.,0.9912,560.,0.0484,560.,1.0396
600.,1.2752,600.,0.0654,600.,1.3406
640.,1.5964,640.,0.0845,640.,1.6809
680.,1.9163,680.,0.1074,680.,2.0237
720.,2.2642,720.,0.1329,720.,2.3971
760.,2.661,760.,0.1513,760.,2.8123
800.,3.0723,800.,0.1613,800.,3.2336
840.,3.4755,840.,0.1822,840.,3.6577
880.,3.8221,880.,0.1947,880.,4.0168
920.,4.1067,920.,0.2044,920.,4.3111
960.,4.3023,960.,0.2132,960.,4.5155
1000.,4.3509,1000.,0.2169,1000.,4.5678
1040.,4.3291,1040.,0.2041,1040.,4.5332
1080.,4.2864,1080.,0.1974,1080.,4.4838
1120.,4.1623,1120.,0.2002,1120.,4.3625
1160.,4.0928,1160.,0.1884,1160.,4.2812
1200.,3.9838,1200.,0.1912,1200.,4.175
1240.,3.8804,1240.,0.1869,1240.,4.0673
1280.,3.7701,1280.,0.1844,1280.,3.9545
1320.,3.6261,1320.,0.175,1320.,3.8011
1360.,3.536,1360.,0.1742,1360.,3.7102
1400.,3.4395,1400.,0.1712,1400.,3.6107
1440.,3.3577,1440.,0.1715,1440.,3.5292
1480.,3.3124,1480.,0.1724,1480.,3.4848
1520.,3.2643,1520.,0.1678,1520.,3.4321
1560.,3.2282,1560.,0.1591,1560.,3.3873
1600.,3.1798,1600.,0.1615,1600.,3.3413
1640.,3.1209,1640.,0.1624,1640.,3.2833
1680.,3.0686,1680.,0.1553,1680.,3.2239
1720.,2.9938,1720.,0.1562,1720.,3.15
1760.,2.9647,1760.,0.1587,1760.,3.1234
1800.,2.9348,1800.,0.159,1800.,3.0938
1840.,2.9344,1840.,0.1631,1840.,3.0975
1880.,2.9151,1880.,0.1642,1880.,3.0793
1920.,2.8828,1920.,0.1609,1920.,3.0437
1960.,2.8653,1960.,0.1615,1960.,3.0268
2000.,2.823,2000.,0.1659,2000.,2.9889
2040.,2.8189,2040.,0.1656,2040.,2.9845
2080.,2.8083,2080.,0.1696,2080.,2.9779
2120.,2.8003,2120.,0.1693,2120.,2.9696
2160.,2.7668,2160.,0.1715,2160.,2.9383
2200.,2.7439,2200.,0.1675,2200.,2.9114
2240.,2.7204,2240.,0.17,2240.,2.8904
2280.,2.7048,2280.,0.1702,2280.,2.875
2320.,2.6891,2320.,0.1656,2320.,2.8547
2360.,2.6677,2360.,0.1656,2360.,2.8333
2400.,2.6391,2400.,0.1686,2400.,2.8077
2440.,2.6161,2440.,0.1703,2440.,2.7864
2480.,2.5977,2480.,0.1756,2480.,2.7733
2520.,2.573,2520.,0.1795,2520.,2.7525
2560.,2.5308,2560.,0.1842,2560.,2.715
2600.,2.4999,2600.,0.1876,2600.,2.6875
2640.,2.4597,2640.,0.1878,2640.,2.6475
2680.,2.3908,2680.,0.188,2680.,2.5788
2720.,2.3648,2720.,0.1895,2720.,2.5543
2760.,2.3556,2760.,0.1856,2760.,2.5412
2800.,2.3493,2800.,0.1844,2800.,2.5337
2840.,2.3423,2840.,0.1817,2840.,2.524
2880.,2.3162,2880.,0.1804,2880.,2.4966
2920.,2.331,2920.,0.1805,2920.,2.5115
2960.,2.3218,2960.,0.1777,2960.,2.4995
3000.,2.3219,3000.,0.1825,3000.,2.5044
3040.,2.3002,3040.,0.1839,3040.,2.4841
3080.,2.307,3080.,0.1825,3080.,2.4895
3120.,2.3063,3120.,0.1791,3120.,2.4854
3160.,2.2931,3160.,0.1798,3160.,2.4729
3200.,2.3063,3200.,0.1774,3200.,2.4837
3240.,2.315,3240.,0.1713,3240.,2.4863
3280.,2.3019,3280.,0.1715,3280.,2.4734
3320.,2.297,3320.,0.174,3320.,2.471
3360.,2.2891,3360.,0.1725,3360.,2.4616
3400.,2.2946,3400.,0.1689,3400.,2.4635
3440.,2.3087,3440.,0.1656,3440.,2.4743
3480.,2.2985,3480.,0.1702,3480.,2.4687
3520.,2.2815,3520.,0.1717,3520.,2.4532
3560.,2.2789,3560.,0.1695,3560.,2.4484
3600.,2.2912,3600.,0.1655,3600.,2.4567
3640.,2.3014,3640.,0.1653,3640.,2.4667
3680.,2.2776,3680.,0.1694,3680.,2.447
3720.,2.271,3720.,0.1705,3720.,2.4415
3760.,2.2684,3760.,0.167,3760.,2.4354
3800.,2.2705,3800.,0.1666,3800.,2.4371
3840.,2.2975,3840.,0.1612,3840.,2.4587
3880.,2.2927,3880.,0.1579,3880.,2.4506
3920.,2.2877,3920.,0.155,3920.,2.4427
3960.,2.2926,3960.,0.1538,3960.,2.4464
4000.,2.2745,4000.,0.1537,4000.,2.4282
4040.,2.2624,4040.,0.1584,4040.,2.4208
4080.,2.2535,4080.,0.1597,4080.,2.4132
4120.,2.2614,4120.,0.1582,4120.,2.4196
4160.,2.266,4160.,0.1548,4160.,2.4208
4200.,2.2734,4200.,0.1538,4200.,2.4272
4240.,2.2786,4240.,0.1503,4240.,2.4289
4280.,2.2963,4280.,0.1521,4280.,2.4484
4320.,2.2986,4320.,0.1533,4320.,2.4519
4360.,2.2823,4360.,0.1537,4360.,2.436
4400.,2.2852,4400.,0.1568,4400.,2.442
4440.,2.2657,4440.,0.1525,4440.,2.4182
4480.,2.2736,4480.,0.1507,4480.,2.4243
4520.,2.2766,4520.,0.1512,4520.,2.4278
4560.,2.2603,4560.,0.1478,4560.,2.4081
4600.,2.2708,4600.,0.1483,4600.,2.4191
4640.,2.271,4640.,0.1492,4640.,2.4202
4680.,2.2734,4680.,0.1502,4680.,2.4236
4720.,2.2772,4720.,0.15,4720.,2.4272
4760.,2.2809,4760.,0.1476,4760.,2.4285
4800.,2.2908,4800.,0.1442,4800.,2.435
4840.,2.2913,4840.,0.1464,4840.,2.4377
4880.,2.3152,4880.,0.1424,4880.,2.4576
4920.,2.3266,4920.,0.1434,4920.,2.47
4960.,2.3333,4960.,0.1418,4960.,2.4751
5000.,2.3353,5000.,0.1474,5000.,2.4827
5040.,2.3266,5040.,0.1431,5040.,2.4697
5080.,2.323,5080.,0.1448,5080.,2.4678
5120.,2.3495,5120.,0.1434,5120.,2.4929
5160.,2.3197,5160.,0.147,5160.,2.4667
5200.,2.324,5200.,0.1455,5200.,2.4695
5240.,2.3185,5240.,0.1465,5240.,2.465
5280.,2.3219,5280.,0.1439,5280.,2.4658
5320.,2.3162,5320.,0.1416,5320.,2.4578
5360.,2.3401,5360.,0.1439,5360.,2.484
5400.,2.3461,5400.,0.1468,5400.,2.4929
5440.,2.3522,5440.,0.149,5440.,2.5012
5480.,2.3514,5480.,0.146,5480.,2.4974
5520.,2.3438,5520.,0.1444,5520.,2.4882
5560.,2.3537,5560.,0.1463,5560.,2.5
5600.,2.3462,5600.,0.1485,5600.,2.4947
5640.,2.3237,5640.,0.1445,5640.,2.4682
5680.,2.311,5680.,0.144,5680.,2.455
5720.,2.3034,5720.,0.1456,5720.,2.449
5760.,2.3191,5760.,0.1457,5760.,2.4648
5800.,2.3228,5800.,0.1494,5800.,2.4722
5840.,2.2954,5840.,0.1483,5840.,2.4437
5880.,2.2786,5880.,0.1485,5880.,2.4271
